P_Average,P_SD,W_Average,W_SD
180165.516355,1193.066091,183948.514073,570.016754
163548.107397,1543.390850,176904.340024,709.869282
147365.660292,1654.683939,169846.110964,811.905761
132747.621299,1868.287032,163019.181607,1087.794693
119181.091807,2219.873078,156508.084274,1272.899466
107703.612649,2377.277784,150654.703343,1375.213714
98091.957541,2683.465721,145138.808316,1375.314023
90004.277710,2644.210900,139873.320240,1467.857456
83368.401424,2676.691868,134926.910320,1600.033179
76695.183675,2652.829464,130290.799879,1646.526029
70973.634912,2621.184311,125687.827396,1588.824645
65711.396520,2444.394457,121410.668920,1705.015593
61080.511980,2609.625102,117646.155069,1911.157215
56496.624775,2405.825175,113899.768508,1977.510288
52805.050604,2433.629339,110375.835547,1973.908942
49648.280590,2098.656056,107103.633840,1869.282252
46467.374478,1972.111027,103818.335019,1833.440944
43688.232640,1997.916893,100638.243412,1988.954229
40817.555166,2001.847941,97578.925357,2126.653968
38106.216728,2050.160818,94751.749193,2149.435996
35919.291653,2071.668632,92040.782424,2138.382720
33635.517569,1938.785299,89444.979022,2041.149859
31574.757851,1749.893120,86982.028447,1942.812549
29678.444532,1590.267231,84740.266830,1984.601703
28021.749185,1614.580865,82524.023626,1995.873583
26498.567875,1535.916297,80356.626993,2062.283448
25007.822694,1553.408735,78342.944976,2053.893658
23800.886177,1661.092590,76530.694723,2229.951604
22544.475312,1724.121200,74882.723569,2314.649107
21727.243883,1691.100342,73542.423839,2337.456355
20793.332565,1657.777093,72260.855984,2342.735115
19909.914401,1592.406825,71068.264316,2335.181446
19231.075520,1485.356985,70018.338751,2363.307471
18622.060906,1437.561309,69046.182659,2395.641680
17929.476646,1429.722231,68050.714026,2595.545952
17254.329017,1444.831126,67071.725132,3020.545757
16613.426544,1472.634833,66178.455643,3583.945358
15879.918906,1734.372654,65100.262976,4593.719546
15283.105748,2152.555321,63773.473875,5863.130433
14660.472517,2468.506007,62553.412981,7216.114496
14045.183366,2814.191119,61406.083364,8318.764956
13578.788155,2940.532533,60568.482411,9081.550019
13174.388240,2892.573216,59947.398544,9155.047437
12713.845511,2738.516114,59372.294489,8723.729762
12339.443602,2713.590431,58679.217122,8361.090525
11893.414416,2724.116511,57885.467920,8140.479020
11521.690967,2659.973250,57141.854651,7725.056101
11213.583163,2478.267781,56421.246462,7006.906372
10866.431539,2274.776381,55495.343378,6434.510961
10566.902735,2248.177300,54538.247860,6227.582934
10246.049335,2285.910775,53529.242835,6331.118044
9837.666613,2329.641744,52373.925540,6670.556115
9412.474876,2350.734428,51111.217027,6789.423050
8996.162402,2370.674466,49789.338365,7087.175033
8479.531915,2453.050455,47972.012283,7670.920086
7940.579519,2517.012434,45894.010592,8489.160172
7368.747765,2466.352182,43594.105520,9488.180490
6693.975918,2469.710502,41099.550287,10606.226173
6005.781293,2552.155244,38315.495464,12107.301718
5594.609146,2652.172494,36307.021326,13233.658726
5276.835649,2720.046490,34832.486264,13727.263947
5064.758144,2951.588242,33556.859151,14478.513868
4929.923338,3136.291852,32708.946105,15243.305940
4803.865113,3264.250144,31977.982720,15971.424540
4668.355844,3218.865183,31145.360749,16601.798069
4564.663382,3231.768250,30553.125302,16989.371186
4526.443254,3271.828585,30094.744548,17116.083376
4392.364285,3308.053415,29480.416295,17048.097117
