P_Average,P_SD,W_Average,W_SD
9798.495614,79.602318,187860.055191,681.130447
8503.243115,142.566345,180719.479217,1091.171749
7430.521549,196.643641,173591.401411,1609.191734
6634.767605,219.862355,166445.322550,2034.156603
5970.863457,205.757440,159699.243342,2162.177835
5478.032864,243.554915,153314.004484,2400.397526
5042.305868,223.840950,147189.415601,2765.551217
4609.706637,256.821845,141303.455020,3220.864932
4245.647940,238.486503,135738.802977,3389.429361
3901.304143,229.485328,130318.242666,3582.379790
3588.119026,225.277666,125299.922227,3678.582482
3313.899793,209.718751,120498.245628,3790.311264
3052.803226,186.575799,115889.189410,3581.660503
2838.702389,201.260830,111783.049734,3641.864353
2632.767821,200.214725,107712.389736,3743.670431
2438.214164,189.275793,103723.706264,3851.226710
2241.731292,186.957553,99790.670753,4161.285648
2087.915782,198.014865,95841.900752,4692.148034
1919.488150,220.168223,92155.853258,5346.543852
1783.512785,228.831131,88716.830142,5897.523602
1662.159115,237.118748,85351.072759,6705.023819
1544.279761,237.838392,82050.802531,7129.187654
1412.985428,226.622073,78836.457599,7371.858477
1320.332151,206.181258,76032.177861,6954.210305
1236.830357,191.846035,73588.696722,6429.144706
1153.751623,174.289822,71413.322133,5923.389173
1082.103159,156.982833,69480.516114,5405.144215
1024.939666,145.386845,67859.158996,4925.115690
988.325596,124.248399,66632.807149,4338.793780
958.334752,127.251592,65504.714600,4101.173187
916.443056,114.403838,64421.856899,3918.006799
888.624802,113.720825,63459.155763,3725.213723
850.467007,105.013275,62312.771885,3724.345097
804.273155,113.272389,60623.065683,4589.560415
755.442597,133.823693,58595.897680,6119.573075
702.934087,167.140378,56240.254850,8576.291564
659.050393,194.912893,53648.063852,11607.847065
615.757460,215.126289,51292.845684,13713.810733
577.422876,220.891268,49054.857599,15277.395951
537.908361,231.784380,46432.934670,16872.447401
499.684129,227.754181,44216.815122,17179.452428
457.316210,220.958507,41865.610000,16993.377430
414.059813,215.260338,39457.903854,16933.004960
377.295626,212.097173,37538.206841,17312.858648
353.730693,207.640020,36473.611107,17618.015581
340.215338,201.698338,35880.505674,17917.633537
331.718194,200.583458,35340.701752,17875.679499
321.475083,196.220957,34314.202351,17898.535170
304.594193,190.586290,32627.827783,17782.438244
277.827144,185.508484,30116.207206,17396.621094
235.000546,176.341181,26607.198464,16607.125306
188.298798,165.117817,22673.766504,16028.385170
155.109217,158.318888,19727.912740,15892.827497
130.959512,164.141153,17146.194392,16345.782877
122.673283,174.463187,15744.533492,16956.337014
119.385117,182.529292,14873.305404,17251.280008
115.408258,188.023600,14315.616811,17367.694395
110.912555,189.811482,13806.359670,16729.357652
108.173844,187.502589,13244.857597,15818.072715
97.839003,168.976415,12455.044662,14797.062120
90.697003,166.608302,11726.923200,14669.455939
90.467896,169.921051,11908.300715,14947.341602
93.911918,172.476785,12482.954740,15397.660742
98.591108,163.016237,13291.043446,15298.286654
97.790565,145.518857,13767.136368,14619.701156
93.200967,129.441499,13884.500144,14043.138571
91.154635,127.600723,14075.852958,14096.739608
90.409563,132.131264,14061.921487,14094.315348
87.770899,130.920743,13723.356046,13736.592546
78.767763,120.522410,12929.775262,12952.551322
72.299788,109.166089,12195.594926,12254.312961
69.567054,106.739228,11852.875651,12012.715385
67.919962,106.449049,11617.689376,11743.798448
66.118119,113.124054,11354.712480,12095.472841
62.366791,119.634465,10894.050004,12272.078281
58.023753,124.738903,10099.979373,11928.675097
48.896802,111.778158,8919.936651,10882.000400
39.453088,97.104583,7611.599548,9462.196951
29.181358,77.212043,6476.119979,8117.557861
23.594882,64.811986,5926.231495,7152.724867
19.816084,52.835957,5714.286200,6270.951889
17.766951,47.815103,5691.298606,5644.320997
16.657193,45.973979,5833.294045,5968.945922
17.308364,53.091297,6009.607394,6819.775542
20.186931,69.900534,6216.906689,7780.530755
24.182682,89.529908,6384.026467,8531.511238
25.051923,93.560182,6385.886216,8760.758733
23.508934,85.016495,6261.859720,8327.414549
19.878480,65.816610,5905.359012,7008.275172
12.952283,29.959546,5237.133848,4527.617756
10.512321,18.792097,4905.195450,3817.451386
8.508979,12.050392,4642.615178,3479.942814
7.577296,10.108869,4459.521271,3165.179196
6.421195,9.037396,4218.007837,2950.354489
5.869568,8.017972,4031.220815,2712.322805
5.324662,7.151342,3812.954697,2497.824554
5.090009,6.775901,3683.482878,2470.028932
4.998566,7.229672,3626.607915,2640.298216
5.190742,8.693963,3588.155856,2938.123633
5.623695,10.547351,3623.623941,3269.161929
5.564538,10.898330,3618.584090,3441.674399
5.497299,11.926332,3595.846773,3488.878601
5.384376,12.018859,3572.358892,3458.138207
4.951662,10.432560,3504.635589,3197.037854
4.245122,7.771182,3318.506335,2636.997586
