P_Average,P_SD,W_Average,W_SD
1183.878411,101.818247,629.002379,15.470140
1013.817620,117.598753,618.093360,19.505420
915.970191,165.332431,593.684894,26.882868
845.942850,170.346377,567.493631,34.295549
694.921577,184.927301,535.903019,48.105161
670.985920,210.285871,495.688113,68.030041
620.209243,260.383236,450.970384,90.525140
510.290803,224.030516,421.151751,109.536775
464.917965,245.506561,391.013563,124.329127
408.530376,267.079569,366.257211,144.086815
411.852955,271.526488,343.399045,145.827512
345.221975,236.298270,322.939686,133.677342
299.033835,232.324700,304.292860,135.125753
267.626527,211.819059,286.946319,125.741185
259.319912,195.616039,274.596033,124.497351
235.645307,209.452525,259.595193,137.870442
229.260810,233.699194,240.225157,131.274492
210.046559,208.818640,230.278853,123.735292
166.413625,142.747903,218.882096,110.908405
177.598414,139.681876,218.770275,101.373112
152.748966,120.435723,221.093710,95.878885
165.713027,135.199103,213.719958,104.678246
144.143361,116.303183,201.598263,96.644942
146.979431,127.033057,192.821193,98.706075
125.317820,118.635205,181.524934,102.859528
103.856776,96.167681,165.994195,104.000673
105.543735,129.140500,158.040937,109.393014
95.182944,135.334985,144.551681,104.713474
80.531385,83.772110,132.541432,103.377176
68.502418,66.990453,116.116780,82.549810
57.513683,60.232696,112.945890,80.260003
48.306969,45.779311,108.700427,82.171757
57.964934,60.333347,111.482243,83.508609
54.981708,59.593308,111.303424,84.600993
56.774781,64.367155,110.223369,78.720462
50.987613,49.274300,109.069023,75.631498
49.878094,57.756003,106.960784,77.194662
48.656834,58.899067,99.006793,78.520903
42.518657,52.697867,93.772920,80.164671
38.737054,51.529119,90.503763,79.462987
35.110289,45.957036,86.061286,76.378781
34.058985,47.397770,80.587810,74.747128
30.380473,42.616937,75.311068,69.483003
24.511097,32.989467,68.259802,66.926262
24.847631,37.366358,62.697487,62.678321
25.756023,39.389178,62.239960,67.070840
22.853542,40.367831,61.399795,67.256646
24.741054,39.645386,63.214060,65.993308
26.016936,38.231737,65.173658,64.704690
25.039084,39.194505,60.812526,65.269806
19.863627,27.326996,57.815279,55.770315
16.847628,21.947949,57.689543,53.326587
18.827230,24.253322,58.981503,55.319854
18.344078,24.244735,58.518499,57.022383
17.562232,23.002973,59.712032,58.166443
18.473397,30.781861,59.477008,59.853106
15.420048,21.699222,61.554725,56.425260
15.163167,21.804565,57.335594,52.766956
14.197318,20.051702,52.941172,47.072882
10.560900,15.670459,41.165314,36.894853
6.531004,9.085484,36.357221,37.759368
10.155438,16.081034,37.704631,39.888754
11.648901,18.157482,39.262844,42.787131
12.163344,18.102221,41.740576,46.180927
12.549183,17.499030,44.369722,47.352284
9.890011,12.630880,47.347332,47.405813
12.029622,14.258980,51.137796,46.105599
14.147678,21.155815,53.926105,46.728071
15.865560,20.540696,52.241189,47.222370
11.638278,14.294031,45.855609,39.028859
7.893209,8.660529,38.487464,35.665581
6.498774,8.169014,37.897289,35.342963
6.695920,11.104230,34.545100,32.780244
5.138528,7.368379,28.736258,28.112220
4.450802,6.967211,23.950876,27.490811
4.287364,7.434339,20.686486,28.223916
3.666633,6.173236,19.311122,27.064863
4.284160,9.411439,19.474768,29.995327
4.072139,8.022240,20.100772,30.396533
4.010301,8.303882,21.223558,32.232934
4.713335,11.688844,21.655245,33.213930
4.844451,12.170614,21.857120,33.543173
5.282671,11.986837,21.260595,31.047624
4.164573,12.041982,21.867493,33.279753
4.809694,9.981464,20.956438,27.608685
4.668037,10.527317,19.666133,25.075994
4.345004,10.309788,18.942797,26.524790
5.726386,18.092791,20.105450,34.536849
4.428900,15.552019,18.245241,37.043766
2.728757,11.304849,14.464889,37.093406
4.358493,18.016339,14.746208,36.282451
3.761606,16.205229,13.581903,33.600749
2.458411,8.768241,12.812067,26.914225
3.140329,9.168973,13.853795,24.443734
2.720930,6.432380,14.288028,22.606795
3.534340,8.731661,16.546599,27.656476
4.374589,12.550196,17.384605,30.171389
4.326948,15.667561,16.972962,34.307590
5.386173,16.941416,18.366053,36.846894
3.919305,9.889578,18.917509,38.616830
7.445261,22.529556,22.009485,40.211233
7.562423,21.840564,23.875792,43.750974
9.312170,26.552823,23.926322,45.044556
9.547570,26.469598,24.771571,44.825467
6.283428,12.333656,25.483652,40.643379
7.105284,14.397760,26.845049,39.743310
5.157006,9.960027,26.590861,38.588586
5.983094,10.942009,25.249173,37.299561
5.357611,12.067633,23.010470,37.617306
4.794128,10.742087,19.680427,34.867485
4.911643,11.784651,18.202677,34.931928
3.675328,12.032081,14.847509,34.846648
4.016491,10.508007,17.206990,38.937842
3.454301,9.781868,18.055044,39.730327
3.813312,10.232399,19.736279,40.995944
4.626180,12.540876,19.558895,40.390854
4.675544,11.758792,20.056384,37.369357
4.079217,9.893098,19.143774,35.226942
4.203510,9.353475,18.654086,31.054195
4.852320,9.010498,17.406739,27.786989
3.062925,7.418137,14.271651,26.481395
2.733478,6.305106,15.013250,30.028888
3.012190,8.900540,13.772797,29.818600
2.310625,4.582255,13.959447,26.843249
3.364340,7.492083,15.184231,25.126543
2.426672,6.629448,13.145585,22.030568
2.778750,9.696561,14.097445,26.049542
1.716245,4.124414,14.393916,26.940690
2.705097,6.994863,14.509965,26.888955
2.965497,7.843765,15.104960,27.754003
2.153416,4.988091,14.569664,28.354948
2.408247,7.151234,11.843358,26.620485
2.780617,9.682130,10.699570,25.752567
2.775540,10.709340,10.083983,23.497888
2.199151,8.064983,9.538942,21.572504
2.075184,6.656601,9.622008,21.492816
1.637749,4.497141,12.088600,26.017378
3.086247,8.930172,13.561581,27.802550
2.991583,7.200216,14.925468,26.936064
1.840488,3.728814,13.722292,24.576218
1.934566,4.656128,12.749849,23.810347
1.773622,5.082011,11.369899,21.417103
2.031547,4.972075,11.948819,20.457621
1.712006,4.029856,11.909353,20.215026
1.865397,5.254441,10.852968,20.837633
1.462269,4.159033,9.006279,19.208279
1.114107,4.171419,7.311565,20.315296
1.075858,4.216837,7.150374,20.000367
0.980348,3.073815,7.192451,18.626271
1.217714,3.640488,6.881950,16.697883
1.140664,3.425564,6.361564,15.940662
0.988540,2.965617,6.386320,16.667710
0.618989,1.867450,6.273080,17.116188
1.018520,2.801511,7.086998,17.326213
0.854737,1.888090,7.363121,15.159884
0.846955,1.764934,7.459667,13.008357
0.867270,1.721292,7.560467,13.074620
1.044524,2.147812,8.819607,14.774897
1.262406,3.011304,9.975749,17.166431
1.570477,4.562213,10.848328,19.565932
1.725683,4.228838,11.492075,22.147844
1.903309,5.136762,10.518910,22.083000
1.578414,4.165740,8.644616,18.676175
0.836121,2.249626,5.727785,12.332173
0.379474,1.113470,4.033508,9.713092
0.696530,2.574026,5.635295,12.905626
0.993042,3.294214,6.928039,14.934255
1.430588,3.986491,9.020451,17.590418
2.061288,5.418874,10.284944,18.275022
2.358581,6.182062,11.719569,20.006429
2.282341,5.823923,12.869177,19.889046
1.322926,3.763455,10.367244,19.083433
1.686124,5.317449,10.617818,21.244437
0.853181,2.026917,10.031513,21.518492
1.405229,3.965264,9.822718,21.728487
1.317994,4.604775,9.047292,18.867464
0.900317,1.970541,7.318461,12.265376
0.698287,1.418139,6.940392,12.351317
0.892944,1.782966,7.762921,13.587259
0.754262,1.459068,7.700111,13.697200
0.869709,1.755660,8.527874,13.671991
1.211995,3.157491,8.331480,15.961529
1.777214,5.368297,8.974017,18.397193
1.783612,5.194664,9.408324,19.740494
1.072089,3.295834,8.106943,19.993247
1.279073,4.414961,8.441711,22.184298
1.348732,3.892257,8.319457,19.733659
1.125674,2.807452,7.546458,16.580210
0.838541,2.430522,6.897465,16.018349
0.519204,1.701545,5.153209,12.166729
0.578675,2.123468,4.544005,11.017629
0.460730,1.688064,4.214071,11.585554
0.364528,1.021127,3.851654,8.770489
0.280197,0.746160,3.892878,8.575509
0.487711,1.366168,4.685153,10.469561
0.489757,1.527123,4.564376,11.089324
0.396487,1.214891,4.184716,11.535144
0.365223,1.148199,3.696391,10.074777
0.278323,0.773533,3.250225,7.868049
0.180797,0.492882,2.562185,6.979411
0.190596,0.578468,2.820138,8.565284
0.297604,1.063498,3.276926,9.643064
0.371598,0.954980,4.852240,10.657712
0.426547,0.975373,5.062037,10.424035
0.475130,0.933044,5.807793,10.428790
0.594831,1.357031,5.483357,10.630620
0.629332,1.830856,4.799475,11.775808
0.524130,1.822863,5.141430,12.907824
0.472221,1.411085,5.956610,14.632169
0.673084,2.159591,5.613713,14.785113
0.354102,1.204436,4.604728,13.352545
0.480303,1.475383,4.290718,12.370064
0.533879,1.839016,4.282140,13.573893
0.630024,2.269429,4.470518,14.281538
0.735997,2.623792,4.748817,13.912631
0.531762,1.775655,5.176353,13.092351
0.518882,1.452022,6.024405,14.918761
0.845671,3.232805,6.691996,15.600194
0.771424,2.799032,7.001388,15.840510
0.771824,2.962909,6.540263,14.535554
0.950912,2.610164,7.343793,13.711056
0.745329,2.459806,6.596880,13.223640
0.555068,1.994029,5.105928,12.986775
1.176250,4.812687,6.057969,16.000129
1.114017,4.275760,6.741248,18.779130
0.998133,2.651914,8.551195,20.953549
1.359073,4.252758,8.590116,22.414891
2.303315,8.442710,8.040336,22.510891
1.416533,6.148697,6.146535,18.223235
1.016253,3.811850,7.089403,20.249912
1.365362,5.742966,7.451883,20.650183
2.033223,8.034369,8.189969,21.168771
0.673755,1.961719,5.919142,13.222486
0.096651,0.249039,4.529980,12.176494
0.452061,1.552054,5.515331,13.925999
0.249065,0.516579,5.709834,12.909045
0.869503,3.338906,6.223004,14.624559
0.574568,1.639455,5.802469,11.778421
0.325714,0.805155,4.059172,8.691560
0.295311,0.644916,4.348000,9.507383
0.404040,1.007768,4.667045,10.555709
0.361363,1.212598,3.812881,9.966821
0.359096,1.291453,3.446654,9.186799
0.286006,0.941108,3.250554,8.452656
0.204118,0.618632,3.429550,8.184881
0.154961,0.520143,3.204025,7.942922
0.224705,0.693090,3.056838,7.678674
0.236730,0.803821,2.812181,7.483313
0.258746,0.754424,3.159442,8.243688
0.210028,0.704072,3.052991,9.055031
0.290168,1.052096,3.202374,9.032867
0.297667,1.011374,3.417180,8.747202
0.161217,0.434243,2.838633,7.136884
0.102136,0.315079,2.561754,7.037316
0.147554,0.447011,2.653829,7.410328
0.147337,0.459931,2.538327,7.055112
0.104389,0.304618,2.296406,5.987971
