P_Average,P_SD,W_Average,W_SD
1117.812504,57.767130,2793.451671,42.103231
962.191360,61.938011,2714.574299,52.879240
863.993717,117.705741,2619.606754,73.642163
809.703651,108.887337,2497.167363,119.077436
717.327577,116.326019,2365.931853,166.183542
656.124839,159.249977,2231.752276,193.130752
598.843136,141.687952,2141.324107,212.635415
572.176275,143.815026,2030.562588,230.500676
529.274528,148.094024,1947.439710,283.418032
482.381204,141.425634,1870.953043,302.942917
453.240154,157.404936,1787.891579,339.303749
423.681838,145.431301,1723.055078,344.910688
386.031771,145.591791,1634.575608,375.550679
352.912555,144.999712,1551.006271,369.415864
310.464655,129.821703,1468.771615,314.148513
273.941122,117.229452,1429.539064,294.713990
255.835190,100.571489,1392.172248,288.665314
243.113922,94.656342,1364.947710,262.080884
237.704956,98.886345,1300.994843,299.668467
213.090449,96.795211,1241.757890,347.250228
204.453997,112.095915,1172.002178,394.732139
192.667176,107.453517,1108.393285,379.765530
172.357390,99.154207,1047.779511,375.032125
152.158703,89.538492,1002.205711,371.721086
159.082207,101.554128,976.599422,394.464638
152.974054,108.726936,961.738021,365.616225
153.372845,108.189280,964.978986,370.587108
137.412490,101.309769,936.399324,385.082289
131.862392,94.053374,913.667658,367.067041
132.462272,97.698084,870.240210,364.134118
128.640459,88.824153,858.556695,364.382637
106.440429,75.865832,820.206236,375.083390
107.880082,75.448394,803.504070,362.547758
106.402571,76.121374,812.727707,361.739018
102.828854,70.814173,817.220872,359.467265
98.583140,66.561253,802.755185,325.308161
91.958634,60.147127,755.540021,301.339693
80.043753,59.892076,691.873619,286.403044
73.747996,58.548192,658.887040,282.649872
70.117606,51.313161,640.909897,284.967685
68.990531,62.289301,604.148273,310.615883
58.719578,49.453496,581.559984,292.642683
53.708201,43.190971,570.873273,286.471932
54.576569,45.784205,552.278406,301.822830
46.392304,39.846659,512.191384,313.230963
41.542770,39.171742,473.358091,318.498440
38.741483,41.476781,420.928281,290.310950
32.651181,34.287968,381.489856,265.124836
28.325196,27.073182,369.364603,262.653422
35.821867,33.208909,397.624333,269.564028
36.115100,34.484360,400.675878,266.369107
35.304795,40.240593,402.898495,277.756142
38.214682,40.550580,416.440537,296.941926
36.287272,41.506830,441.884061,322.126528
