P_Average,P_SD,W_Average,W_SD
190279.746352,2516.614430,6295.480303,40.715563
184819.141566,3825.186808,6233.604194,54.140573
179533.461798,4499.371152,6166.722819,75.684635
173419.157485,5650.364305,6081.100909,91.886398
167700.682847,6673.220818,5998.178012,116.366595
161012.598685,8871.501255,5894.723936,144.350834
153913.909701,11595.100699,5778.688957,206.926879
147643.008922,12629.786056,5671.776018,247.125299
142063.657707,14639.471078,5559.517211,283.269719
136142.472648,17002.491219,5438.260073,344.291768
129226.469595,19707.128959,5308.199811,410.660908
121835.967025,21599.174372,5139.235396,481.742746
115594.527139,23862.856829,4991.419054,561.383820
110137.919379,24987.896315,4846.522803,598.426545
103816.068715,26578.407011,4716.040247,640.582051
99200.470742,26713.938605,4614.636981,679.070953
94222.851690,27820.540758,4474.578631,724.440920
87294.779441,27591.208141,4313.822263,766.779472
82294.495459,27393.024334,4157.946031,748.078321
77000.083204,27781.509952,4017.168764,759.295513
71009.446281,28412.580813,3847.688900,800.990597
66657.794851,27481.194111,3707.169592,790.833355
61597.276407,29921.548132,3536.665008,839.334983
58569.552972,31358.700036,3423.508014,899.535884
54919.520393,31951.551215,3286.888644,1007.003993
52300.542426,31830.254908,3185.407539,1062.794678
49925.550461,31259.177096,3094.323154,1088.716255
44740.908359,27877.787829,2951.094837,1021.650276
40455.260230,26372.223254,2803.387057,973.370279
37479.928556,24977.910966,2686.711360,923.232931
36356.218378,25382.838833,2636.909867,922.546011
35308.688386,25756.060311,2582.940895,913.766932
33242.237140,25319.531913,2497.437832,910.748512
29347.622469,21045.973783,2379.596902,839.959399
26675.685025,19240.101640,2267.588422,822.115034
25399.365651,19805.173369,2187.602534,831.047003
25082.995262,20552.052319,2175.900013,839.780328
24338.210879,20356.772851,2133.877370,844.375233
22496.849161,19274.139325,2060.532874,811.809918
20414.819971,19346.350511,1952.096534,790.759983
18769.099852,19818.122822,1838.971628,856.458884
18408.387847,21630.731838,1768.047945,914.213033
17727.241462,21774.939500,1699.637426,976.282968
17409.755821,20962.768530,1676.208764,990.303248
16973.078787,21484.287318,1644.330083,983.529620
15869.478462,20991.685495,1582.933131,973.234267
14734.373704,20537.589576,1521.546315,916.201095
13253.019314,20021.741896,1442.293719,850.063979
12213.926118,19207.627510,1374.178698,849.285705
11175.568204,16168.298225,1328.259341,783.593100
9927.017631,12534.553175,1274.145584,709.041963
9215.862010,11114.932672,1237.307310,675.721131
8106.507836,8148.644738,1182.222965,594.361761
7251.973548,5838.560057,1141.736210,508.159389
6958.222832,5507.743495,1129.342924,479.901428
6468.438118,5180.544803,1095.552799,458.287261
6145.470606,4515.037571,1080.954284,441.112546
6009.579704,4529.293267,1063.808716,455.280995
5773.168399,4293.480376,1034.492183,463.373083
5355.373818,3658.199052,998.759301,431.289331
4975.923594,3565.979668,950.422596,416.198885
4352.605330,3382.432864,880.346155,397.834958
3963.630896,3297.532427,835.529498,394.167947
3685.710011,3189.466925,797.361558,397.633588
3228.532592,2925.087746,742.737232,373.040527
2911.142103,2853.865919,701.381691,356.946824
2711.811157,2689.398363,669.213482,363.892588
2647.539133,2479.229989,663.904395,353.742623
2694.235411,2472.816719,663.791778,369.769658
2747.014946,2500.858699,672.854500,371.790300
2824.844675,2501.188824,686.250461,375.344009
2829.144924,2430.763507,682.575026,378.331159
2783.768233,2248.224146,678.628845,369.594349
2637.278524,2110.135159,664.129714,355.006385
2386.980794,1983.268179,637.502167,338.653558
2198.571847,1864.547198,611.337306,317.522644
2058.441257,1768.925286,595.431604,304.080956
1974.785420,1687.262868,583.815991,289.909944
1857.168387,1507.129132,570.856628,272.957346
1694.768856,1331.760068,547.196664,257.681458
1545.818140,1236.871341,521.425648,248.121789
1430.186773,1170.953849,499.752145,234.736463
1304.268310,1095.038586,473.162809,232.799343
1238.067078,1057.092018,460.830527,231.016920
1150.308857,1014.248033,447.771470,223.361627
1123.258975,1007.910353,441.756155,221.207574
1112.246016,982.394973,441.685122,214.764466
1094.361243,951.994678,441.220438,205.724088
1055.505926,902.875573,435.823466,197.827250
1021.595277,890.338257,426.669546,197.620258
1015.737586,935.363045,422.342160,202.952905
985.159467,982.496979,409.367646,217.543535
869.540174,1001.975818,367.704722,235.986771
818.646444,975.473900,344.361162,243.046155
750.087711,895.091179,333.676700,224.474757
682.349787,847.483504,316.548422,213.861342
650.329326,771.682456,306.694050,214.945487
600.114123,673.669778,298.819766,202.727734
550.299004,591.027990,287.335090,194.700028
522.067128,591.396253,279.625131,192.205135
527.425109,640.888014,279.370273,195.064702
544.386558,658.548260,283.520570,198.301206
534.628870,633.344184,281.432877,191.816499
516.827911,584.695084,277.015053,184.330408
502.164958,571.082188,275.336995,177.392639
478.626892,558.297486,269.848752,174.652307
446.012268,501.970524,263.572102,171.856403
424.193480,461.627588,255.511040,162.948221
390.560155,388.806331,247.251034,154.452165
362.887186,363.378315,236.471743,150.953459
341.417493,368.911264,224.339688,155.118907
340.041294,371.929282,223.680283,160.256491
342.850040,363.774550,225.098256,163.323061
337.803567,360.418946,223.243055,156.696406
332.049995,382.606206,221.021087,155.024923
325.313831,405.726746,216.848876,155.350144
321.111766,445.972113,210.091326,159.557290
315.894936,472.920919,205.098399,161.729016
299.186228,458.563998,198.640044,158.603769
292.884206,411.342541,200.364292,149.785454
270.189275,332.735057,197.841017,136.339772
252.108472,341.636610,182.093118,139.035740
253.463352,380.238228,177.063975,152.938211
266.278614,422.062708,174.603814,164.369103
268.620910,459.579743,171.580148,167.355161
266.540874,486.065486,166.555000,170.619964
271.578436,513.868756,163.722785,174.975327
266.309924,500.432548,157.613677,180.200190
240.779896,423.526834,152.430155,170.540549
195.037149,338.945529,139.410444,146.468675
158.511365,289.002470,127.424476,134.615262
141.142144,226.944319,125.359594,123.202084
135.898461,217.358504,122.905045,117.046918
143.900105,244.658531,123.686027,121.517212
156.630264,268.359003,127.776464,129.855423
164.720247,275.996599,130.313774,136.843237
163.589513,270.582194,129.314136,134.906871
165.523748,289.319083,126.233290,140.483179
165.696445,291.000852,124.256055,144.356861
152.036727,264.567525,119.360899,137.824485
135.248960,227.617273,112.647109,128.703075
114.001752,176.463008,105.041219,115.866974
96.313877,152.744807,95.551977,103.636364
100.488567,157.345889,97.549246,103.507188
95.612243,159.614009,96.256875,98.186512
100.042191,181.507244,94.671557,101.416139
102.927682,205.718488,91.432256,109.440475
115.318067,242.256022,94.836249,117.715565
134.084870,311.175075,98.127950,133.554807
157.536976,396.395889,103.468394,146.854380
179.378626,469.341281,109.460895,156.258408
217.021451,639.879569,116.300258,178.607557
244.041095,769.503711,119.247719,193.947800
282.305423,956.882137,123.817313,216.296562
335.892385,1255.693458,129.702625,237.342820
374.588149,1455.851621,134.065028,249.323888
392.995344,1536.729153,137.399091,261.439013
398.997269,1550.004890,141.469734,264.148507
364.010138,1351.988552,140.694010,249.473929
309.029173,1097.515134,132.159753,222.355701
271.012139,938.795838,126.376297,201.501737
259.964735,861.486662,126.422645,197.751358
235.149303,723.465533,124.027359,188.753333
173.965978,423.291884,114.935222,155.720450
138.186686,273.174026,105.714406,132.897125
123.248354,236.425555,101.849312,125.993460
132.129476,288.235671,102.640481,134.728505
141.688849,341.407218,100.235316,144.628952
160.672502,450.807641,96.922213,159.634868
176.948956,531.063968,96.393635,169.455771
194.810416,608.535817,96.640167,178.779287
188.859302,577.022957,95.174865,177.046539
154.299739,423.100760,90.701238,156.422601
130.250690,335.101934,87.839779,141.519465
119.467716,308.116745,87.088848,132.330356
101.269083,255.281833,84.610670,122.921858
85.279216,221.669286,78.265310,109.600908
67.720899,123.577635,74.957252,93.199773
50.686575,72.596870,68.622967,77.654518
52.145018,79.255631,68.913099,78.178302
59.683535,95.597661,72.779197,84.216365
65.431382,104.477213,76.733244,87.570155
68.985703,112.880881,78.599884,91.101068
76.788087,128.359458,82.432517,96.162462
83.152585,140.280106,87.736788,99.236895
86.605554,144.978154,91.624042,102.108003
90.808397,153.797081,94.987465,103.806478
93.329541,168.922442,94.844377,103.978285
99.619553,198.073047,95.371252,109.790189
101.112251,205.892786,94.857398,115.696857
115.683300,247.064060,99.843158,125.651664
125.824014,267.466639,104.665397,130.973547
132.091062,283.507356,107.073474,133.658835
129.178963,282.487597,104.213248,133.122081
118.729396,270.905189,95.772447,128.960542
100.521206,259.362694,84.587211,121.333203
99.812968,299.588490,77.304780,126.492275
106.487064,331.779140,76.569811,133.317620
108.980136,338.821478,77.448369,136.156491
103.864867,333.732238,75.698666,131.324751
89.884695,280.594709,72.219040,116.678571
87.549954,270.662618,71.767732,114.845874
83.146963,245.831872,71.430572,111.981592
78.323205,210.668519,70.962887,108.674475
82.745556,219.996099,71.926001,112.720206
79.056728,197.825509,72.636312,109.563754
73.421612,182.796271,71.793770,103.872790
67.595040,173.032545,68.531780,101.039789
64.297465,162.741458,66.777421,96.496520
65.927494,164.639027,66.453989,97.415168
68.473006,171.214063,67.322538,100.394559
69.708923,189.924938,64.806913,102.830094
71.444588,201.402829,64.455709,105.104253
70.954101,189.189786,65.959354,103.892875
61.219435,141.072670,64.490587,95.401121
45.791336,84.103642,58.527425,80.145212
37.054469,71.773705,52.370753,73.096432
36.554034,74.420859,49.954377,73.577226
40.251933,84.625734,50.791403,76.858079
45.250941,99.449433,53.663370,81.664145
49.725974,115.188778,55.670803,85.995605
51.741167,127.914673,55.772542,89.425411
51.973036,138.110920,53.649187,92.064743
50.104843,140.747580,51.446483,91.240283
44.307571,129.676704,46.527178,86.611305
37.529795,103.504885,43.609096,78.406404
24.799363,58.711934,36.793321,62.052972
24.679052,56.305134,37.816419,61.959854
27.251100,59.024877,40.921622,65.112559
27.773862,57.146220,43.930130,67.441128
29.407315,61.164638,45.290643,67.516989
29.513467,65.188387,44.302286,66.279972
30.117485,67.019778,44.663626,66.265924
30.987677,74.193177,44.735927,66.792661
33.067219,82.901741,45.829828,70.565577
37.290022,97.378595,48.045815,75.509100
37.556177,98.739955,48.218275,76.197061
32.886916,82.312578,45.419847,70.846143
23.276417,42.790904,39.616209,58.460633
18.773395,32.162519,35.967235,52.557481
18.654597,36.705161,34.173577,52.924342
18.225379,40.650290,31.562577,55.067220
18.450761,43.101400,30.319998,57.180087
18.717034,45.376482,29.936320,56.987720
