P_Average,P_SD,W_Average,W_SD
184888.282416,997.346096,760676.994160,1856.323002
175831.724237,1230.037694,749101.290516,2494.034689
168158.323198,1576.359323,740372.733896,3400.185232
161023.900701,1732.643301,732664.320669,3637.743351
155030.906995,1780.443626,727054.437944,3764.403276
149318.330066,1999.661669,723214.734401,4232.603979
143278.230229,2386.764733,720152.387929,4534.859955
136361.307428,2648.666787,717175.698871,4984.625241
128938.064712,3394.826220,714591.605435,5098.704398
121623.709881,4072.145618,712043.623795,5346.080900
113994.706533,4373.731357,709686.388095,5629.508041
106948.952588,4450.129029,707649.383461,5722.145970
100539.774828,4219.064903,704878.657549,5870.758037
94848.528493,4426.985616,702035.423068,6198.827729
89979.967957,4502.886411,699331.000441,7468.260002
86435.571254,3780.684354,696602.120227,8143.805469
83751.074425,3170.761091,693721.459151,8989.284949
81748.692371,3273.382306,690497.877294,9643.273292
80200.704563,3701.318419,686682.871921,10348.663508
78543.705070,4001.088302,683604.913211,11333.558444
77000.069110,4504.996104,679889.958851,12365.037549
75696.888253,4650.849342,675945.074135,13552.810220
74184.412278,4607.656210,671056.707235,15154.078469
72868.259244,4823.527161,666091.887148,17399.354968
71467.589017,5010.988931,660173.104630,20447.692293
69952.708604,5623.473775,653958.309977,23346.276280
68760.373027,6481.909033,646947.455892,26569.397367
67352.714890,7233.638931,639852.881618,29480.715474
66087.106913,7374.357899,631802.277739,32948.805682
65255.991680,7101.932299,624110.717115,36189.001291
63536.956169,7005.922533,615682.393359,40055.264616
61556.114742,7544.237315,606404.816688,44048.634427
59892.773509,8063.272091,597724.317276,47220.037010
58254.703412,8204.738100,589587.779237,49233.190292
56255.068115,8568.953174,580411.240659,52428.983438
54786.521191,9455.138621,572345.239851,54562.708178
53435.010201,9936.840388,564307.780577,56631.117180
51659.938162,9436.128245,557696.665876,58093.155779
50766.065819,9311.480921,551530.300556,61203.736508
49854.170717,9479.908068,545096.965206,64794.363954
48803.582883,9987.443101,537896.995371,69298.454265
48280.732534,10806.756694,530335.842768,75956.450108
47091.922866,11320.172657,522660.111686,81638.336589
46160.867126,12127.586714,515380.853366,88206.318984
45170.878732,12651.147672,507992.139422,93962.588869
44148.981590,13111.831636,500738.371327,99583.894710
43271.925667,13739.810363,493622.829189,104370.530717
42301.026497,14158.240730,487885.376986,107694.119715
41412.545735,15087.301480,481118.482075,111811.006756
40771.262894,15889.214577,473584.789525,115531.169684
40105.303962,16548.822440,465915.048221,117733.249641
39503.202250,16460.453669,458991.360961,118347.204879
38200.917677,15863.006093,451171.152336,118790.778347
37036.110709,15659.251467,440908.687125,119564.950924
35478.136436,15344.650271,429568.571770,120118.134785
34038.836112,15171.646554,417813.721222,120769.815052
32569.127147,14554.460087,407087.598968,120607.213669
31349.946527,13941.039097,397535.049701,118130.661024
29617.244708,13034.953710,386852.564350,115666.781187
27999.788587,12970.298426,374794.934052,116337.549362
26950.293213,12970.744270,365166.556363,115912.415807
25369.031971,12742.415829,354039.549256,116562.163442
24613.116593,12537.261428,345998.477480,115818.363094
23993.463838,12430.168974,337530.642094,115791.786640
23103.872484,12270.756206,328301.147387,118597.755290
22306.438109,12163.758970,320928.356923,120868.591283
21563.520567,11982.361401,313655.156590,123357.013028
20925.748127,11628.487428,307083.941686,124450.210657
20378.041576,11568.653111,302153.665985,125806.059593
19877.200099,11697.224607,297419.196837,127733.355628
19218.270850,11720.953868,292023.189376,130062.142286
18237.373679,11759.251727,285291.902799,131312.943776
17601.753392,11964.163376,280428.240797,132719.204994
17047.614193,12155.452223,275660.582743,133012.805531
16432.696509,11855.141780,270896.466868,131436.973722
15946.784206,11564.173313,265549.952048,129901.978715
15243.506226,11230.989973,258378.164554,127315.678926
14345.672027,10492.423773,251400.697424,123758.314173
13651.094940,9976.097776,244790.182801,119250.570347
13084.762459,9628.297576,238670.892933,115862.146400
12509.412695,9001.046783,232495.783129,110780.149496
12074.102816,8780.336761,226522.582180,107942.152811
11370.579723,8138.296343,219876.247955,104925.313990
10713.463974,7699.420242,212527.070226,103464.824453
10159.106985,7407.257708,206536.124707,101866.809295
