P_Average,P_SD,W_Average,W_SD
186196.230990,1330.013979,187036.950824,610.046904
178670.583984,1319.541577,184029.310819,675.967788
174544.143463,1313.263872,182232.207558,710.857526
172191.298321,1789.203455,180998.264657,854.145629
170214.762474,2143.752463,180048.064802,1043.724405
168634.486439,2134.458616,179096.049849,1104.506274
167316.245823,2534.055863,178332.574626,1280.599430
165857.673822,2501.179137,177579.738600,1368.577298
164389.678030,2903.880133,176721.921423,1642.018315
162752.629337,3309.575716,175795.168400,1939.131718
160914.040394,4327.976676,174890.036433,2387.940459
158552.493110,4962.266552,173580.342250,2725.711330
155472.137269,5486.976012,171844.613604,3096.040377
150849.492416,6258.247208,169371.824848,3555.009226
144954.906181,7607.640880,166048.911792,4471.649353
137625.948806,9135.425485,161764.718911,5469.862532
128424.827846,10588.223238,156290.199427,6643.968134
119199.269251,12205.103635,150449.146205,7975.866948
109082.366262,14876.857587,143659.796572,10268.820325
99151.939663,17503.612307,136728.440350,13593.084059
89582.940672,19904.027878,129566.664954,18325.514855
82121.190219,20831.299032,123409.188530,21421.531199
75774.755206,20440.917055,118781.119553,20689.799305
70875.037379,19757.410898,114918.841265,19555.086554
67227.468735,18282.298060,112011.968174,18043.058153
63649.689414,17578.621680,109063.146484,16734.499617
59495.298669,16983.638916,105349.099069,16144.161401
56276.229252,15403.306288,102614.823180,14892.502181
53527.711954,13242.962122,100289.186114,12890.325871
50564.544904,11738.576035,97529.898117,11757.043182
47350.024323,11223.447039,94421.260414,11854.026289
44575.222950,10685.967514,91596.789995,11639.590030
41844.341432,10653.435150,88574.867398,12101.783057
39420.019926,10338.362432,85815.107034,12113.473652
37524.005378,9855.442045,83680.661741,11929.571840
35463.104614,8805.333416,81585.568227,10877.895825
33479.038095,7785.988197,79300.917016,9729.967432
31244.218961,7014.564123,76743.975884,8991.894613
28905.022265,6934.605248,73720.880046,9303.117488
26907.837634,6919.508798,71009.018381,9965.596215
25204.089807,7059.476838,68459.651973,11408.367011
23598.017493,7550.385764,65809.521348,13296.999899
22496.384193,7394.113179,64219.541459,13238.588658
21490.033435,6826.571616,62964.847526,12293.419102
20301.324668,6357.983151,61286.510183,11329.239341
18853.832064,6027.048662,59224.448574,10738.454257
17300.363865,6024.043716,56458.712942,10927.741856
15837.285801,6130.027246,53549.309060,12550.080684
14743.665736,6227.456251,51217.000676,13806.218102
13955.821738,6334.725852,49717.484273,14002.288349
13232.575261,6445.763133,48304.586296,14201.222497
12558.415325,6376.178128,46778.257135,14679.628722
11920.475951,6043.987625,45385.230244,14807.196281
11204.333379,5937.444638,43858.258388,14760.180871
10461.326639,5880.814450,42137.078166,14828.384579
9667.198272,5743.895191,40171.921936,15186.759190
8906.899164,5452.510756,38277.301490,15444.450672
8326.835637,5166.168061,36838.482128,15379.130925
7886.167158,4923.995854,35874.483675,15102.953638
7406.920154,4539.524328,34797.893381,14611.267550
6891.490665,4258.342515,33393.673807,14106.097542
6416.543075,4075.884922,32041.285971,14210.641741
6122.449825,3791.545096,31376.641822,13603.113966
5856.500171,3391.946842,30975.464027,12573.702455
5624.703360,3130.389891,30590.509857,11785.426489
5313.093364,3034.138095,29686.326366,11465.033004
5026.856574,2997.851884,28864.910424,11193.650648
4749.681609,2867.574977,28195.578221,10673.272949
4294.525439,2614.798667,26833.771824,9709.206302
3898.815173,2480.898131,25485.627249,9350.318139
3638.164079,2351.611195,24490.386886,9656.149476
3521.251864,2164.639911,24035.058545,9687.712863
3534.785670,2093.869172,24095.345076,9650.606167
3492.370751,2123.578721,24009.516439,9516.264100
3332.190556,2331.365090,23203.334334,9814.563661
3085.872676,2640.554570,21915.630691,10451.158855
2920.571545,2985.120458,20954.622091,10819.836212
2803.541261,3237.132733,20154.015787,11183.735468
2615.707170,3221.943992,19134.194192,11450.300549
2289.465232,2479.828614,18008.157883,10574.825924
1997.145904,1851.243488,17149.308831,9155.993665
1875.117281,1773.302872,16517.971332,8985.911966
1914.918532,1912.150484,16399.759591,9584.340542
1997.984288,2013.375690,16599.187774,10038.745243
2050.848188,2077.616560,16718.840047,10470.022627
2107.653841,2078.768584,16816.801358,10755.785673
2180.949994,2116.768873,17134.310281,11049.729749
2260.563966,2248.539829,17383.023838,11435.372838
2232.726223,2306.099458,17136.715639,11578.676404
2089.944489,2268.776474,16400.668894,11489.343378
1985.940903,2495.234038,15550.453347,11729.292200
1911.686301,2729.536385,14779.321485,12065.981361
1812.601394,2908.675914,14009.108236,12233.394847
1687.471940,2944.147908,13111.216505,12240.710781
1506.697005,2606.137902,12243.568114,11731.886418
1353.678426,2039.388046,11805.563323,10749.743936
1352.160740,2012.708053,11789.068096,10633.205286
1362.074883,1992.941966,11738.265786,10590.793245
1313.884228,1917.954736,11391.598320,10510.249784
1332.607653,2014.563532,11459.209553,10640.781994
1405.668053,2129.738244,11801.331361,11014.558932
1439.450540,2194.593794,11968.469640,11178.184721
1458.114100,2344.762497,11845.852233,11343.107559
1556.149364,2604.471799,11920.915179,11985.442993
1681.618267,3037.707897,12129.104398,12652.921048
1823.462656,3595.897807,12375.948587,13550.707853
1976.234016,4211.525775,12527.277140,14477.554443
2123.832728,4810.842471,12541.554553,15449.207150
2287.956833,5204.510637,12746.018039,16386.586692
2382.239654,5301.239006,13009.303480,16896.476652
2327.931423,5067.447963,12963.712536,16429.060883
2325.760035,5179.452133,12845.009422,16310.055725
2385.283827,5372.922385,12918.884657,16847.069091
2359.640015,5242.679409,13013.538581,16850.539022
2115.687223,4622.329989,12648.866002,15617.281605
1723.482846,3620.710949,11611.432342,13824.173245
1638.398427,3269.890197,11207.785210,13457.655417
1727.467253,3180.556766,11517.713828,13885.723023
1713.461816,2934.208559,11447.360903,13825.387991
1580.164383,2755.478360,10814.912737,13290.362438
1516.964545,2959.821161,10092.647720,13531.038666
1475.427765,3077.593239,9576.003920,13766.185921
1423.188569,3196.228240,9317.981325,13469.697829
1365.264123,3314.703739,9086.485207,13046.473113
1367.538803,3466.644931,9293.213853,12941.479994
1354.544788,3630.136876,9388.845007,12789.223923
1205.212029,3451.675537,8864.731761,12123.089195
1085.878296,3051.061703,8247.155523,11500.750535
