P_Average,P_SD,W_Average,W_SD
192004.232204,1013.919630,189890.327892,518.505938
189567.012933,1132.549225,189255.554369,514.942856
187909.554027,1493.366989,188535.626005,716.060897
186648.935382,1864.617478,187986.669335,942.145911
185199.196805,2120.528464,187165.655370,1081.363810
183705.325606,2357.009435,186496.785934,1215.680485
182726.416211,3084.176178,185932.295245,1591.733437
181703.349318,3775.122920,185296.571887,1987.178074
180088.453368,4892.971417,184552.250722,2555.795865
179271.756778,5395.166693,184007.799221,2774.527494
177967.863548,5839.855093,183298.443340,3001.063833
176200.154588,6353.185137,182375.492768,3319.405838
174492.717563,7201.039428,181458.769189,3901.561838
172603.756789,9416.200019,180472.273495,5234.124455
171561.685197,11607.321082,179821.105048,6545.274529
170415.618088,13414.953269,179173.349551,7622.960244
169159.146658,15243.622807,178382.098602,8942.194848
167879.852122,16904.873641,177631.464152,10076.768387
167314.981581,14822.938910,177473.362396,8531.573469
167077.438805,13254.053825,177326.981899,7454.873775
166159.255470,13277.640333,176782.310345,7322.013713
163798.167283,13945.853226,175650.228462,7739.944110
161952.174551,14291.594833,174527.203193,8096.046908
160756.416516,15284.583527,173854.963885,8507.613300
158899.441093,16023.928713,172768.122605,8932.983792
156694.588256,17250.033527,171521.118850,9751.233442
154239.954696,18678.411346,170126.716332,10695.717168
151602.127606,20501.209042,168505.413839,11865.522941
149115.002214,21250.860905,167056.717827,12626.673345
147487.357115,19983.025146,166206.924317,11986.532169
144628.133352,17589.487186,164817.436261,10493.332734
142544.589790,16816.666396,163640.235818,9960.621721
139107.111173,17599.507770,161663.584429,10501.696037
136073.389661,17709.672048,159830.176936,10723.184404
133925.277847,18001.060874,158514.461323,11112.669267
132398.913929,19948.506255,157486.756907,12253.939352
130679.575364,21085.606842,156336.887904,12986.572503
128219.710800,23083.744159,154616.160462,14825.469459
124683.863178,25841.510786,152336.453668,17386.374351
121427.805358,26830.714630,150223.783190,18305.144357
119425.240745,25411.598462,149183.655904,16841.125549
116134.059574,23943.765133,147097.005476,15760.131641
111532.750986,25766.886026,143828.621868,17409.594331
106823.658487,27918.700102,140512.807068,19817.964694
103397.328156,28510.729120,138029.731798,20672.061012
98809.853308,29324.008727,134559.882973,21470.974933
95948.991269,30352.553126,132511.806814,22465.331247
96164.950160,30130.264839,132778.061598,22102.583019
98319.443563,28204.044364,134541.306373,20658.818046
99137.191738,26548.716383,135216.123221,19475.307836
97913.738701,27114.751592,134247.111166,20313.848236
95337.657087,27121.401542,132566.797211,20618.521252
93291.750605,27470.653510,130990.618096,21119.938640
92460.121569,25410.208990,130688.842819,19129.400274
90333.630031,24695.911257,129281.833270,18660.959241
86718.612743,24826.336711,126421.219619,20122.953012
82739.571252,25190.672845,123047.435261,21658.304929
79328.399725,23076.135128,120916.104369,19493.733020
74605.594376,21423.465135,117349.108548,17436.628818
70211.465127,22520.303083,113514.977693,18612.540522
68797.012180,23579.161288,112117.494814,19575.451712
68733.749152,24608.560035,111721.524174,21053.653938
69530.947883,24361.806588,112565.034888,20733.474423
68646.341823,22859.963537,112118.651126,19404.459435
66817.250041,21926.187939,110474.807714,19700.358810
64554.524583,22119.622701,108368.727136,20682.723668
63111.336120,22960.246123,106949.009463,21701.406949
62956.840381,22151.499617,106998.903401,20380.086431
62383.799716,22432.491618,106641.452122,20142.234597
61794.378953,23468.499566,106000.061382,21344.180976
62024.552333,23585.610961,105817.413160,22734.677201
61927.588650,23356.501664,105578.563809,22433.950110
60519.366340,23956.942448,104370.489986,22384.409492
57603.448673,25730.758623,101370.953153,24577.504252
55904.394045,26322.319241,99579.113877,25560.224282
55068.098538,25471.864168,99016.602197,24130.137740
54195.272031,23906.560623,98618.974147,21938.008609
54545.834024,23826.208979,99124.334116,21426.371321
55930.258212,23918.495965,100319.362773,21470.312288
57310.741902,24107.292736,101455.195976,22377.918657
59024.656552,25551.337195,102531.897360,24826.675753
59309.508698,26158.118667,102603.676611,25913.389622
58626.594230,26070.183067,102094.301277,25796.367366
57236.608271,26169.805568,100797.349433,25381.062922
56632.644411,25813.495258,100337.586391,24624.237609
56468.555494,25537.095691,100370.224442,23901.875736
56150.885473,24595.031909,100339.466796,22920.369031
55482.682475,24134.368519,99682.364327,23002.282727
55369.608942,23493.536838,99693.795417,23094.033765
54122.692921,21926.292719,98717.611897,21751.940688
53064.603202,21613.806392,97841.539259,20762.689932
52756.714791,20744.597029,97830.381249,19561.075744
53720.928144,19753.710177,99033.696863,18615.286189
55114.860863,18438.824308,100650.663478,17826.312181
54708.985159,17132.335433,100392.109427,16353.777179
52031.321187,15493.237060,97888.038750,15165.674432
49476.658084,15661.754640,95333.054797,16121.621652
48270.659989,17616.871232,93716.238505,18711.722864
46430.055953,19010.759496,91303.949323,20697.836120
42884.448696,18419.629534,87448.131404,21373.326197
39369.028669,15233.865967,84363.092078,18060.163652
37042.449514,14648.334231,81871.639480,16522.146067
36119.255444,16795.316927,79757.000267,20046.982284
37365.214894,17615.811556,80831.444224,22151.297801
38558.066219,17894.708357,81894.639878,23356.639740
39263.929844,17824.129244,82730.720547,23045.710348
39273.325873,16660.243678,83441.456953,21324.878986
39164.344723,16823.089059,83522.546466,20585.872626
38827.930512,16469.439656,83353.131157,19753.641827
37294.983637,16561.154354,81386.637005,20026.383118
35271.339810,18123.702861,77863.195324,23845.254630
34503.505722,18461.013230,76570.103018,25131.052419
34590.058922,17923.029128,76892.706608,24297.017291
35293.471819,17756.329702,77826.123866,24159.695225
35255.270790,17262.336067,78389.187742,22939.410990
34097.499094,17481.671717,76956.098580,22809.959946
32362.505405,17035.496221,74733.922877,23022.367576
30431.881140,16298.480833,72392.061657,22507.882718
28284.615603,15483.798477,69642.052724,21967.392586
27546.352281,15031.328572,68845.085573,21012.093068
27912.850834,14506.458722,69558.102443,20044.216862
28108.789718,14387.782528,69917.305202,19715.454752
29195.409619,14417.705458,71589.484161,19167.471079
30327.769791,14388.711627,73096.320068,19200.494692
31612.806971,14002.623795,74795.115579,19078.498036
32157.760340,13817.823320,75612.023894,18966.744366
31793.179028,13907.029316,75234.327656,18866.535182
30707.501434,14018.229808,73632.195573,19211.507715
29189.809903,12684.807732,72144.711342,18087.894971
28396.638423,11516.747469,71207.288142,16227.275683
28140.444735,11615.080316,70871.583611,16373.538555
28711.890851,12450.479552,71557.165065,17044.268698
28821.466703,13010.644084,71728.203522,17618.659983
27629.987980,13308.433149,69967.870859,18336.637071
26474.822888,13516.052521,67923.664142,19941.445158
25679.190687,13311.517190,66535.741148,20705.310613
24802.519349,12908.539953,65390.894182,20203.605227
24231.009848,12746.650281,64410.698796,20338.606461
24441.035098,12402.191703,64924.652605,19640.994558
24712.240144,11906.646988,65597.733478,18606.578236
24554.453296,11479.154111,65688.208575,17542.774598
24623.339894,11993.332620,65673.489878,17909.725449
24675.315904,12214.055206,65600.122979,18397.396651
24114.236459,11871.456469,65202.082657,17805.568862
23026.632738,12079.041708,63388.436525,17822.608331
21773.106139,11837.322526,61459.334096,17909.658816
21171.939403,11330.120842,60677.818258,17647.292301
20688.640326,10986.157955,59973.397067,17277.330728
20396.739541,11222.776778,59356.733446,17514.366423
20927.446659,12098.011579,59657.638189,19663.104691
21089.628035,11956.424389,59995.753865,19453.857438
19980.360250,11061.252931,58342.088454,19107.757474
18873.451792,10127.064312,56859.917884,18053.323041
18191.244098,10474.812722,55507.262322,18416.102466
17921.156245,10734.580016,54686.309813,19765.463166
17896.277579,10555.173082,54510.386532,19639.957870
