P_Average,P_SD,W_Average,W_SD
1086.406220,38.709213,18337.351958,191.626208
926.657984,51.491002,17524.631749,253.686097
824.767369,62.009597,16677.629598,327.196059
740.922501,48.531925,15875.805504,379.845294
662.718325,54.905784,15066.762214,397.243719
599.078693,48.510077,14290.304382,450.183664
559.662472,53.387550,13584.450851,510.675782
493.023026,64.197318,12901.824344,564.087265
459.041970,49.516345,12294.852282,644.440870
410.447611,47.798939,11705.876458,689.267446
370.701646,49.138711,11195.561690,696.914083
339.085961,48.272081,10681.110923,677.324305
315.595355,51.788438,10176.746970,686.038555
293.827908,43.199655,9767.309852,639.376252
260.516302,45.422857,9376.398868,653.385633
247.712922,41.106422,9008.124936,634.238030
227.738144,36.957436,8627.402297,579.741936
211.949982,38.987686,8237.619700,674.551380
194.312386,35.472652,7889.769365,752.443674
177.894663,36.337192,7566.277014,742.662482
164.183613,33.784579,7311.209481,738.953851
151.864461,32.040982,7032.708097,791.232450
142.759760,34.887259,6701.444449,973.129139
131.452350,37.849835,6399.878942,1174.965702
122.086960,35.066693,6173.496115,1314.274184
113.692780,35.133314,6025.056532,1375.246782
112.325030,37.415483,5914.181291,1321.905825
105.341879,34.554610,5836.813727,1145.452960
104.777614,33.434267,5642.526680,1076.999168
96.224187,39.232700,5320.767376,1296.508088
86.625857,40.721725,4953.176950,1603.876544
80.625243,41.458315,4696.002145,1690.566283
73.270265,39.700153,4408.256435,1612.927846
60.410086,35.182250,4049.321512,1659.332382
56.139769,38.231247,3724.547513,1852.686223
50.811197,37.059662,3495.672187,1979.727637
46.440867,35.882909,3295.203186,1967.551117
43.648725,34.489131,3129.871512,1943.778543
40.954556,34.412852,2885.623363,1997.159899
37.264357,34.295657,2668.850884,2019.828343
31.611046,29.752300,2496.668812,1994.946862
30.607212,32.537720,2365.655090,1956.349744
29.908286,33.182040,2323.872835,1952.162425
24.542651,27.296044,2122.823531,1782.363817
23.487588,27.300805,1917.427960,1725.512059
19.318356,24.793784,1712.647832,1682.736481
16.991560,24.953321,1490.189332,1590.725984
12.464424,19.692971,1196.766027,1395.749102
10.242152,20.971907,967.336132,1351.822535
9.487820,20.337356,887.384713,1374.969312
9.046035,17.717935,910.973049,1460.028572
10.516977,20.083204,987.681263,1487.142638
10.896355,19.314047,1037.058662,1488.763546
9.881484,17.209249,1016.230993,1475.089459
9.109399,16.557977,977.640388,1458.167991
9.834689,21.885156,925.525679,1390.878741
8.650211,16.750842,864.801042,1265.102387
7.434460,14.574420,778.460412,1128.010218
5.331172,9.313570,669.161788,950.304500
4.290492,7.746206,617.648347,902.497083
3.919117,7.635366,568.463388,831.991006
3.159114,6.580293,505.827123,748.823707
2.804968,6.468152,468.009710,756.065888
3.417736,9.822685,459.833837,848.413755
3.395780,10.615009,459.264094,877.879891
3.173260,9.492407,436.205810,816.409205
2.880275,7.632126,377.389830,704.768248
1.731033,4.415394,300.024934,541.657311
1.467702,3.272365,288.670526,504.055689
1.406522,3.130769,292.734822,509.404669
1.867572,4.935317,318.256408,591.289444
2.219529,6.154916,343.221322,650.371804
2.310730,6.655899,358.850630,709.491319
2.323633,5.779727,355.798048,696.731056
2.240752,5.128965,338.357291,667.910337
2.039016,4.976975,306.010278,625.255713
1.791806,4.577907,261.817342,576.201112
1.690402,4.437129,247.616875,556.971580
1.875332,4.876632,244.250300,507.554208
1.590269,4.364765,241.914065,521.268920
2.181341,7.467287,253.655918,647.469319
2.423957,8.102997,289.168816,752.353022
2.715967,9.367506,322.158732,872.503107
2.736619,10.851616,319.627129,922.886387
3.272649,13.038194,309.057463,947.647742
2.195694,8.532277,244.250042,758.189276
1.823837,7.601201,178.341301,508.751905
0.844209,2.534380,113.564447,215.125862
0.608623,2.396605,108.542700,255.174067
0.548685,2.048441,136.759519,335.099601
1.295257,4.601205,187.831674,475.145850
1.446275,4.814164,223.471929,579.014771
1.844666,6.127907,264.952979,709.353075
1.979442,6.490722,286.175547,765.209182
1.768549,5.392565,255.692912,664.563972
1.309665,3.761507,196.309206,504.246633
0.800997,3.314513,123.644908,409.915168
0.520012,2.267152,93.758151,323.017180
0.333106,1.702230,63.708144,203.291243
0.092148,0.391947,36.368297,63.874643
0.064102,0.203351,35.995606,56.295593
0.036812,0.108362,36.350238,65.040691
0.061518,0.189817,45.438580,87.649171
0.065479,0.192502,50.906752,107.516652
0.080316,0.246427,57.522533,133.852826
0.098065,0.326415,65.101171,161.806155
0.103237,0.364175,65.747479,174.635708
0.117493,0.460309,60.819111,170.805012
0.079940,0.278051,48.153827,127.178159
0.059171,0.185854,39.071165,95.139269
0.104578,0.374151,35.978337,85.920196
0.111410,0.486600,32.415481,94.065023
0.159034,0.732050,33.151495,106.679346
0.196046,0.968567,35.667700,120.609342
0.323821,1.692827,44.074542,169.942801
0.389646,2.055780,50.232779,216.476155
0.477826,2.539866,62.058614,294.389183
0.610095,3.266193,81.142775,405.894246
0.857152,4.597131,102.046668,517.696301
0.947898,5.080960,113.215510,571.283778
1.128482,6.048755,117.316485,583.902225
1.106248,5.927715,98.104480,472.413159
0.275403,1.451009,40.979951,161.325508
0.072476,0.362480,18.478271,48.688264
0.072365,0.362376,18.893996,47.430130
0.015983,0.049704,15.454197,37.484967
0.016555,0.051335,16.198677,42.091071
0.019828,0.065402,18.454863,45.288334
0.033343,0.126288,22.107281,55.220379
0.057317,0.235891,28.279871,78.257379
0.068733,0.272000,34.455687,102.124721
0.103778,0.443641,46.065630,147.396622
0.142546,0.585658,57.692122,185.159989
0.220132,0.935660,71.147968,228.767799
0.241813,0.989141,77.141878,244.925888
0.174827,0.669872,72.341169,221.425351
0.132957,0.519422,56.944391,162.578395
0.045013,0.140627,31.391040,88.927141
0.025023,0.085502,21.971954,60.820573
0.009572,0.028579,13.401353,41.289101
0.011139,0.047962,13.109052,51.369840
