P_Average,P_SD,W_Average,W_SD
176322.466391,1096.787634,181976.382334,547.982427
159874.313793,1434.038311,173913.761495,821.919393
145632.615801,1865.529730,166241.233838,986.556075
133091.802096,2105.047929,158924.371416,1300.944694
121569.783302,2225.078919,151919.220857,1423.947149
111473.864358,2140.881260,145459.045033,1440.125070
102240.342000,1983.136636,139290.188244,1383.644319
93953.330546,2162.701815,133484.026596,1541.764384
86684.264492,2137.970001,128140.737818,1570.899722
79908.775330,2173.226370,123008.235776,1760.301189
73784.842040,2373.245954,118194.594856,1943.748715
68103.394050,2221.838683,113585.329593,1870.492877
63068.815944,2151.627234,109275.343686,1910.091500
58640.306408,2430.427835,105349.938816,2190.461110
54552.292998,2556.299299,101564.497350,2417.007825
50814.661762,2277.048717,98095.929127,2211.549611
47618.839730,2048.378264,94924.590169,2056.420826
44835.931003,1966.172489,92083.297636,1990.742791
42121.134151,2060.573279,89272.565796,2173.339438
39911.855033,2103.081139,86828.940623,2305.024207
37870.152747,2132.768202,84555.169442,2422.898526
36067.552639,2031.055143,82519.908040,2392.566157
34586.461315,1946.700762,80773.210491,2330.302042
33206.586272,1888.456535,79173.442288,2232.684242
32082.298088,1975.379148,77800.937393,2355.554277
31204.459074,2210.986837,76684.151869,2713.478994
30433.337951,2557.854211,75756.460551,3211.464444
29542.526322,2835.914243,74553.214475,3610.219844
28504.545498,2966.656861,73264.115995,3962.507574
27314.866457,4062.151025,71525.496560,6256.117452
26150.645241,4920.833313,69774.840507,8835.062875
25330.141408,5009.496939,68592.359555,8809.135702
24484.086618,5083.509564,67490.967283,8503.167372
23398.930146,5277.988737,65894.523844,8646.541666
22524.545980,5388.099983,64639.179989,8765.402852
21768.468237,5507.700979,63516.215662,8843.033483
21139.314471,5278.155983,62670.863927,8326.492419
20346.234698,5230.653913,61466.367039,8494.773790
19396.100683,5388.583003,59917.139600,9535.371940
18404.224285,5714.894682,58081.957011,11022.553796
17507.302934,6165.784948,56277.518812,12213.616057
16701.651050,6418.720338,54518.655097,13494.594387
15868.670483,6514.721246,52529.775923,15380.815308
15279.769620,6177.460286,51358.289304,15701.606212
14562.781224,5982.131094,50248.671788,15576.541061
13697.381460,6372.079924,48074.861726,17015.370719
12672.026395,6605.781691,45525.013773,18383.875914
11623.980686,6681.827986,43098.691454,18427.724738
10904.844090,6773.112206,41162.400445,18988.412161
10738.746829,6678.592716,40666.569319,19470.943265
10731.904622,6508.962496,40975.078308,19084.828335
10395.923006,6439.672497,40200.323208,18705.581262
10020.784165,6530.299714,38844.453859,19519.477162
9681.834931,6697.002478,37455.114142,20782.843788
9266.004740,6810.940290,36316.662579,20919.118120
8531.728075,6618.377413,34402.607952,21190.318150
7693.410122,6007.416893,32206.476710,20883.285949
6685.750592,5573.809933,29611.807749,19639.865958
5562.342538,5878.284032,24995.913651,20379.182249
5179.185665,6397.684371,22156.539373,21963.326238
5104.761332,6460.765237,21336.639081,22701.140917
4812.866046,6122.660892,20517.874006,22093.640021
4398.576715,5797.266375,19300.532027,21176.822928
3861.218121,5586.489563,17658.627456,20187.961045
3244.527210,5314.528922,15498.469372,19200.921977
2660.404926,5070.945495,13352.852765,17575.533526
2399.417504,5043.073262,12125.466187,17052.082664
2278.182169,4544.220706,12119.239042,16562.970287
2124.826428,3731.355030,12365.983342,15531.571156
2080.407091,3463.216160,12673.563156,15121.614012
2145.212134,3491.169807,13040.076388,15176.538649
2111.099139,3526.807431,12761.808511,15159.886965
2224.673678,3980.619769,12418.036812,16087.604488
2517.436886,4571.835288,12959.603786,17486.779058
2643.815213,4787.906232,13290.940717,18120.838816
2554.504425,4776.427815,12682.482868,18091.816258
2320.250202,4458.782065,11706.891818,17478.312609
1979.355548,4015.067389,10701.127160,16192.520435
1607.726972,3285.082558,9736.268887,14481.254172
1237.884967,2382.177373,8865.851747,12371.875223
917.062597,1946.352081,7426.373712,10616.378100
872.603079,1944.051793,7068.573998,10440.940546
1005.243353,2317.782468,7435.752574,11390.757508
1190.549615,2771.185406,8001.466524,12581.181670
1332.693156,3086.968278,8374.007840,13493.185470
1465.523076,3365.002956,8606.149351,14241.899270
