P_Average,P_SD,W_Average,W_SD
9814.077108,477.711558,153.099802,4.012117
8331.062273,718.923631,144.486707,5.321590
7131.000716,990.148295,137.192900,5.956973
6141.890815,1057.852930,127.284288,8.975519
5197.920099,1148.220058,118.284548,13.135394
4557.981666,1225.089857,110.341928,15.058077
4028.411029,1086.069048,102.710690,13.736510
3608.560138,907.911164,97.764011,16.578149
3139.771773,914.140803,92.646348,17.946137
2989.010960,974.995326,88.579367,16.609620
2767.679250,1128.135427,83.327215,19.288279
2444.716294,987.839411,80.411215,17.753664
2166.410584,1010.894206,76.787738,18.816537
1953.095084,960.883557,70.113952,19.034182
1826.065218,833.826858,67.844801,18.646252
1781.837270,742.010999,67.736581,17.079208
1706.145346,650.744164,65.765354,15.776918
1620.233024,592.930890,65.472921,13.705938
1548.435735,512.477813,63.082268,11.711381
1389.744701,575.413113,58.807860,13.056678
1273.363638,565.408522,56.396437,14.559843
1258.663509,656.199733,55.269318,15.156356
1194.573015,653.435162,53.232623,16.599503
1088.029316,634.014862,50.797378,17.352724
1047.185701,606.158756,48.711243,19.099200
983.866151,540.862646,47.939036,20.425443
936.314430,523.339548,46.819582,17.600977
951.089421,537.068350,46.958409,17.439423
885.263496,514.810537,45.230833,18.279750
838.430208,486.707112,44.519148,17.711871
846.310275,524.029366,43.413978,17.461767
824.208014,502.282298,43.015934,17.520350
742.818972,439.061820,42.337449,16.339345
630.593158,425.418237,40.352895,16.351514
602.951952,422.092704,37.613528,17.899614
592.776209,441.198745,36.072865,17.290725
514.217657,412.831350,33.726337,18.064977
477.877867,423.988673,31.224457,18.007991
415.841144,440.076186,25.988519,17.926821
331.633927,389.291527,22.336513,18.654965
304.950083,364.084591,22.932168,18.079645
312.519934,367.826568,22.723577,18.298919
306.358675,304.258223,22.501354,17.260701
272.965965,306.415488,19.721883,17.327187
255.751869,336.977781,18.099909,19.023611
230.677414,336.773944,17.213576,19.291800
214.286383,344.088702,15.899172,19.063233
194.760535,315.236182,13.713990,18.190969
163.710726,276.103636,13.948949,18.599837
165.912297,291.064335,13.660666,17.958424
155.154200,289.928526,12.761699,16.550147
131.919258,228.298251,11.380356,14.555652
105.980349,146.603296,10.771494,12.190366
94.056167,148.818121,9.927084,12.004799
115.205404,185.374362,11.245590,13.680371
134.036825,209.886223,12.375221,14.559913
131.320530,199.890595,12.347081,14.946597
117.186066,179.829258,11.232036,12.800873
72.511508,146.299587,7.537219,10.438193
46.811623,108.037228,5.912958,8.930219
40.266210,100.429036,5.077433,8.796186
24.078849,62.230739,3.880112,7.558976
25.219168,64.273332,3.756590,7.501042
26.728959,65.611217,3.732373,7.139419
20.946792,52.001315,3.299129,6.103691
23.994686,52.737690,3.867205,6.539784
24.881848,58.095106,4.181969,6.865978
18.417543,63.504720,3.221612,6.955629
21.286310,75.972052,2.813441,6.658265
29.689234,112.195011,2.843659,7.679923
31.259761,120.724053,3.047846,8.773482
31.532605,124.712034,2.950950,8.594501
25.273433,79.922312,3.216956,8.612175
20.143722,59.400344,2.544820,6.746006
11.778014,52.828756,1.516458,6.066915
10.938902,46.001075,2.000447,7.639459
12.826446,54.701943,2.076606,7.877820
11.905679,46.908010,2.168522,7.841526
13.404497,53.637704,1.967814,6.526786
7.031486,24.007288,1.432367,4.609342
7.999215,28.195455,1.344555,4.332744
10.216171,33.459901,1.791702,4.865270
11.397649,38.133885,2.043570,5.372056
18.463187,65.354427,2.222320,5.830389
30.376312,86.995336,3.477004,7.200732
37.965208,96.931086,4.254512,8.750265
42.425619,99.982022,4.929419,9.836028
39.868981,101.238900,4.878988,10.566747
33.557676,86.920392,4.852017,12.080502
29.434918,77.985480,5.072341,12.906413
35.689425,96.141450,4.825653,12.355339
33.882510,95.615051,4.671836,11.841203
15.540261,55.469624,3.454567,10.354326
18.629687,69.115478,2.545282,7.891919
22.600166,82.103950,2.549250,7.551842
21.758956,79.669797,2.316038,7.230759
16.878880,72.132313,2.065059,6.161787
22.829287,113.405204,2.494906,7.721425
16.038481,71.305294,2.787831,9.291043
19.250734,85.501854,2.610384,8.760938
16.306908,68.856019,2.202832,6.991703
1.555161,4.519201,0.848154,1.816051
1.054754,3.075222,0.685123,1.586575
0.825397,2.588066,0.555500,1.412413
1.050579,3.752344,0.562149,1.436044
1.212339,4.608827,0.579709,1.553698
1.311125,5.253032,0.594868,1.761535
1.219028,5.401123,0.641184,1.906395
1.346453,5.287676,0.569610,1.726924
0.762789,2.920266,0.519948,1.519016
0.214589,0.987558,0.249713,0.863857
0.077424,0.290293,0.118702,0.445309
0.018908,0.101823,0.038893,0.209444
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
