P_Average,P_SD,W_Average,W_SD
44725.924305,859.583417,14059.081619,118.709414
42075.625409,1037.989908,13923.431304,149.051990
39657.009262,1037.241040,13838.759895,154.303758
36573.670958,1371.674577,13728.726508,191.721912
32873.689180,1574.485875,13613.786432,231.121043
29709.095894,1660.760755,13497.188718,253.128888
26242.572103,1849.290939,13414.447837,280.607887
22381.818346,2399.893927,13297.173059,337.047419
19327.284515,2571.594039,13195.796642,415.480033
16751.995719,2859.107267,13140.639287,456.320566
14693.468160,3094.997834,13065.034508,477.783002
12842.994140,2829.657662,13003.304508,503.067177
11172.026961,2569.294806,12941.875269,507.415226
9767.748048,2632.478372,12873.288086,538.658355
8472.705588,2703.061381,12810.785486,576.486776
7129.042671,2581.077960,12789.610726,597.860235
5823.610444,2252.018783,12762.467443,626.003022
4716.962356,1832.690947,12735.647823,652.966120
4003.230262,1624.200058,12701.129309,662.568361
3461.280615,1654.137882,12668.136274,667.839230
2994.804482,1504.547837,12643.244172,664.609433
2556.662123,1478.532821,12627.649052,653.501401
2158.985720,1191.865234,12628.324584,649.366495
1952.244141,997.744165,12621.588854,648.329941
1699.597808,752.364817,12615.810087,647.750220
1490.678977,712.487454,12603.635680,644.786703
1262.279261,634.753188,12602.273317,648.391928
1142.109542,682.090180,12603.281122,648.395654
1066.958955,691.795048,12601.313977,651.492699
976.581077,715.130641,12601.869404,654.626914
813.705676,565.707009,12600.833168,659.468525
730.299889,443.998946,12600.026131,660.809017
727.060664,491.546150,12600.348212,662.352690
724.497719,465.335855,12596.903944,664.299807
684.293576,433.877901,12593.248179,664.403311
675.753874,500.822697,12591.150841,662.153020
697.641017,581.549286,12589.829835,661.315364
707.481805,591.840447,12587.414755,660.662056
648.868201,517.138967,12584.356053,660.892485
514.309857,357.194624,12582.682552,662.266994
399.637499,286.299596,12582.257311,662.992927
362.304899,305.663760,12581.378554,663.343127
326.675949,323.794780,12579.644535,663.789071
323.842980,354.612215,12579.540066,663.554522
326.172638,375.030229,12577.967628,663.491527
297.972441,368.502993,12575.683089,663.360277
255.847819,285.931498,12572.471275,663.727747
284.286839,289.698988,12573.058780,663.613529
300.721559,310.321369,12574.339712,663.329172
326.372251,356.365880,12575.618449,663.554054
355.199627,422.697360,12577.482703,663.325510
357.790781,452.180519,12579.854409,663.972865
365.709349,510.165668,12581.447705,663.097893
328.499829,465.561153,12582.328144,661.723974
262.765481,406.764643,12584.139618,661.428583
268.485078,462.023367,12584.459260,662.199768
295.851104,526.992677,12585.056766,662.951972
266.775035,522.791872,12584.243331,663.720387
229.669699,434.812778,12582.974719,665.243303
199.369183,352.858326,12581.497133,664.723747
192.677747,290.362109,12578.179870,662.835860
189.200196,272.016210,12576.760269,662.405056
191.026770,245.761092,12578.341569,664.173575
186.528244,208.758841,12579.527861,665.987154
186.839993,242.149597,12580.708269,667.856918
224.014219,314.117044,12580.765643,669.318258
245.944833,330.643072,12579.613334,669.949958
291.998122,372.724284,12578.549602,670.795956
302.307483,402.221407,12576.444178,671.980283
314.007422,437.489910,12576.829549,673.576651
324.917589,446.982777,12577.715238,675.702233
287.478611,364.001452,12577.789115,678.176835
235.974379,277.537815,12580.455899,681.464144
231.154806,302.137978,12581.651852,681.442455
220.540295,317.352714,12583.148383,681.034370
203.108116,331.761623,12584.363371,681.349879
169.332498,298.678631,12584.395063,682.494458
156.153345,246.770377,12584.072002,682.950901
157.392517,237.289063,12583.421426,683.568068
147.718751,209.974087,12583.801394,684.994555
140.201241,215.366469,12584.111725,686.058303
135.085072,221.851069,12584.275909,685.806607
141.412079,266.154679,12585.292804,686.305799
158.035957,307.417438,12586.015694,686.403224
167.370588,306.946990,12586.627111,686.565491
153.835319,266.911698,12587.319587,686.801973
122.051690,202.150363,12588.484288,687.319994
113.019102,178.869080,12589.045696,686.706016
123.218445,212.305828,12589.472023,685.659657
132.696364,250.211769,12589.541941,684.174717
133.056220,270.900194,12590.915471,682.744597
133.773820,318.369878,12591.726324,681.266829
163.047506,372.205737,12591.947443,680.450003
174.874701,366.598426,12590.834469,678.268539
177.386041,301.120144,12590.204941,676.342316
183.747633,300.088774,12590.900184,675.733075
159.249865,244.855589,12590.587600,674.510100
148.498233,225.731021,12590.951383,674.525241
166.630319,252.508628,12589.747563,674.209250
145.382091,258.597823,12586.799138,674.042765
130.978478,280.174378,12584.893984,674.519884
131.973217,303.580730,12583.658262,675.145333
128.883853,295.270786,12582.886775,675.212470
130.305747,308.844340,12582.947806,675.730288
135.132847,305.205582,12582.752619,676.694417
128.584448,257.889912,12581.922092,678.943379
88.198580,141.467975,12581.133990,681.492780
94.658870,151.842274,12580.214248,682.330969
96.690840,169.943091,12579.197398,683.341464
99.605167,184.053272,12577.557827,684.603645
94.800231,205.111354,12576.144993,685.559327
