P_Average,P_SD,W_Average,W_SD
186189.261972,1906.293874,28063.827767,120.328089
180271.772685,2640.868986,27676.506523,170.140409
176109.169362,2806.111035,27381.014077,208.241175
173422.964356,3716.807591,27145.121912,282.592261
171034.823150,4011.524492,26946.104443,311.404979
168469.053322,4465.250421,26746.057819,348.112839
166094.838877,4879.534442,26550.964407,389.972458
163850.297227,4384.676570,26351.708711,356.207384
161266.149731,4672.083627,26145.255915,371.446773
158827.605677,5273.430974,25938.580876,446.794588
155837.215286,6283.232402,25678.227160,508.820829
152951.098333,7288.629256,25445.364021,611.497909
149239.794848,8774.823490,25142.452793,734.568495
144002.990412,9534.662485,24706.377019,837.051876
136366.260929,11681.092473,24036.338136,1037.439704
127249.645392,14210.193975,23191.394098,1301.310987
117120.200364,16309.921091,22247.196488,1600.525067
107955.211483,19126.449574,21322.174763,2089.882227
99806.903112,20590.542952,20490.166225,2338.348995
90528.068434,21987.077207,19463.722395,2584.684172
83478.665393,23768.724222,18566.917718,3171.508219
77210.340029,23631.530866,17815.099540,3373.441989
70632.965482,22582.483220,17058.831182,3266.176745
65465.639136,22232.744001,16419.722812,3245.019770
62841.291178,19588.660521,16093.611540,2862.217888
61028.187922,16312.768543,15923.913373,2356.779770
59059.991969,12348.192372,15747.690096,1759.195855
56796.474652,9105.912268,15498.559030,1277.839182
54745.121241,7459.613319,15236.728759,1039.198269
51473.276464,8043.470343,14766.007745,1186.785698
48060.842578,9253.130820,14248.529849,1404.905719
44635.345220,9494.455618,13701.059547,1521.158882
41196.982125,9252.319656,13154.132927,1543.365688
37056.688041,9779.231546,12446.365925,1711.367953
33440.878345,10031.643139,11795.042591,1866.205323
32066.251257,9307.492825,11556.393074,1792.698498
30439.141136,8755.899777,11248.881944,1737.596010
28348.044438,8840.113890,10837.067352,1963.261656
26846.830189,9255.169535,10467.557242,2261.393098
25018.296153,9212.210556,10041.060358,2380.382374
23398.257586,8684.484615,9711.664695,2280.216852
22439.598732,8436.838291,9539.121805,2215.407537
21434.218566,8282.817863,9319.723907,2121.888828
20391.266101,7858.403241,9089.577977,1965.401054
18983.187861,7466.332846,8785.327369,1870.909968
17466.756649,7364.578129,8396.977942,2017.115198
16454.129961,7861.534775,8049.107363,2357.205515
15460.833121,8158.991220,7687.167994,2603.789052
14438.483062,8268.352107,7353.111839,2753.849576
13246.758916,8029.875650,6984.794870,2722.185281
12368.338845,7797.751022,6749.095569,2654.132309
11436.228345,7277.352081,6512.072200,2509.217554
10634.609893,6810.025248,6274.356892,2399.725086
10308.907549,6435.989615,6219.010196,2302.460234
10031.144744,6258.679433,6160.368841,2197.796988
9764.780343,6186.282145,6082.911691,2173.139354
9419.987563,5792.396012,5955.468156,2149.762906
8836.670612,5252.595196,5754.155619,2083.630315
8248.223626,4740.739258,5591.771377,1971.159595
7767.155000,4607.066964,5411.593884,1888.611865
7221.458909,4931.345804,5188.120122,1947.217305
6707.001663,5257.646244,4966.576197,2005.841460
6084.066608,5007.874228,4732.470077,1919.711530
5576.368278,4585.556309,4542.089095,1761.686616
5244.527009,3722.709902,4459.368062,1571.935545
4990.197224,3265.250615,4334.707018,1507.183614
4989.406679,3673.597008,4210.851901,1802.721703
4970.168043,4119.825744,4087.788921,2070.026397
5024.659525,4330.876536,4063.484328,2180.934051
4900.269872,4408.641198,3969.453070,2238.831236
4581.220812,4380.010305,3774.479003,2274.235473
4511.780291,4531.214649,3706.795064,2300.354752
4498.726425,4854.606142,3664.464098,2365.305578
4479.198808,5436.121561,3559.635757,2514.741189
4441.365393,5672.869714,3434.146514,2691.576417
4518.264149,5952.694305,3413.866484,2757.199362
4266.916292,5938.159186,3298.271929,2707.956388
3999.743954,6241.920549,3109.407732,2706.564387
3704.799712,6697.408838,2884.620963,2710.418478
3701.522386,7232.974782,2817.953521,2759.337784
3495.564525,6798.320418,2697.191810,2750.027998
3121.172753,5767.529084,2566.036205,2598.603911
2731.888549,5374.451099,2405.945268,2371.896858
2614.689138,5411.597298,2341.840876,2355.322683
2685.802099,5390.437199,2371.516472,2375.199105
2599.802849,4699.990340,2398.332184,2310.256691
2457.986701,3685.611180,2385.742093,2145.953370
2413.501464,3326.395033,2379.413594,2104.123289
2643.558831,3812.047555,2398.923618,2324.441465
2832.403710,4270.487758,2431.050392,2450.083067
2872.378822,4631.562935,2391.854019,2540.643715
2868.831995,5117.942008,2268.866282,2651.533355
2805.694006,5485.754092,2113.407455,2724.749414
2817.505639,6052.551357,2020.717750,2800.183040
2816.342355,6236.111957,1998.458323,2814.508402
2646.643373,5973.032777,1933.641520,2744.476243
2409.510553,5277.628498,1854.700896,2611.126320
2200.192050,4610.140930,1791.640976,2457.179886
1999.083088,3826.764728,1742.065719,2317.950971
1799.241993,3339.630625,1665.264396,2179.029248
1646.512676,3256.997077,1606.722050,2081.590406
1494.671293,3326.339494,1496.677666,2015.977999
1474.659362,3627.292680,1406.985913,2056.757996
1538.825577,3850.006950,1394.684240,2114.462524
1516.902841,3752.374005,1344.151022,2127.448778
1519.784902,3556.336739,1360.417484,2125.400898
1545.691567,3501.089287,1393.787566,2134.649173
1680.562802,3928.118276,1446.556894,2249.742578
1775.148935,4422.598986,1465.794968,2332.814523
1826.476970,4678.542098,1465.625245,2362.246456
1759.894620,4622.041179,1411.495704,2344.062360
1563.010764,3961.587615,1313.164263,2235.493247
1338.306698,3241.595425,1227.553605,2039.119453
1353.516569,3373.338074,1221.282026,2061.884301
1366.303388,3379.022686,1230.192145,2086.703989
1347.186262,3276.575111,1230.005906,2045.201029
1209.377982,2830.273165,1188.894442,1905.068332
1150.319813,2584.385993,1190.592963,1848.664522
1148.319867,2527.835992,1205.947973,1815.058939
1003.034418,2212.049874,1159.934704,1683.692305
893.830632,1959.783289,1111.964881,1560.240648
867.180416,1908.776507,1106.723332,1511.981672
