P_Average,P_SD,W_Average,W_SD
185440.121239,1065.451239,762335.994992,2226.454751
176129.044917,1284.581537,745246.076706,2793.989629
168639.657896,1414.211391,730358.762555,3115.157344
162508.587360,1441.174172,717292.285389,3316.782370
157315.082037,1692.003279,705809.528501,3788.122781
153312.145453,2085.062649,696662.638158,4601.003172
149901.537275,2162.022582,688497.989502,4787.738321
146644.819781,2180.970992,680700.361326,4962.704315
143785.677779,2565.918183,674264.301684,5970.074410
141049.688032,3265.266891,667484.797202,7785.607599
138368.008994,3843.449310,660640.752702,9195.074670
136008.791235,4077.676722,654954.463923,9842.277941
133955.441896,4752.769521,649867.156186,11690.962367
131930.804277,5265.072699,644804.269255,12942.423551
129727.389956,5939.208811,639243.389289,14836.116501
127175.612439,6976.073120,633060.001128,17505.962295
124253.823190,8385.452820,625589.075125,21282.287834
121129.296132,9581.844158,617501.156027,24662.413436
117510.849018,10403.658041,608066.148358,27123.941163
113886.982287,11276.505427,598458.438699,30309.581621
110061.343837,12373.794408,588051.635635,34067.572145
106909.663236,13103.581020,579492.491544,36380.911916
103290.630972,16589.897703,568376.343461,49943.180675
99081.846343,20486.253731,554026.013628,71543.829301
95474.107827,20550.640369,543733.955268,73498.578082
91574.245428,20856.635741,531685.923743,78691.801855
86966.990837,22249.244264,516809.531258,85154.846295
81311.474805,24101.009736,498024.670153,91200.203157
77627.096564,26246.379340,484773.364627,99768.262204
76020.641769,26659.301371,479325.044740,99134.262164
73743.625926,25392.307043,473173.413180,91970.104575
70291.632968,24631.636137,461953.615600,89037.800732
65942.574939,26643.786245,444142.822370,101929.895738
63052.115602,28199.744415,429995.919137,116615.365582
61372.566955,28127.452519,423342.286513,118353.349213
60022.335784,26775.936120,420489.082309,112566.061547
57686.438767,24247.515832,413271.430616,103877.738644
55291.147129,22210.752584,405894.961924,96846.728496
52575.423307,20698.457523,396344.268665,92852.045082
49445.907209,18784.012860,385101.157521,87343.070597
47079.044440,19263.556433,374190.112672,91186.816140
