P_Average,P_SD,W_Average,W_SD
1148.087157,88.124908,628.047339,12.698816
834.753567,199.119516,611.351201,18.923402
743.644664,216.230144,593.285127,26.186297
691.916515,170.431211,574.434615,29.601014
610.851515,166.182721,550.800667,34.242682
546.769885,161.922517,527.300454,41.066906
473.521097,203.942357,488.662808,66.844158
425.918331,192.604480,459.048255,94.918872
353.174650,200.689664,416.076859,130.461619
382.477723,225.966025,376.083265,149.833189
287.251989,211.054677,330.554268,162.850707
233.775089,218.014045,288.330947,162.967612
171.868627,157.254765,244.022089,151.540823
144.266499,137.242778,196.332708,137.438144
123.684854,121.813141,169.547858,133.196092
95.427053,93.555786,139.618473,126.399148
56.093433,78.936299,106.298111,124.948732
63.487081,100.695922,103.656274,134.388957
55.968302,97.596222,101.381166,132.593093
50.423231,71.141154,103.543795,132.943220
49.086255,81.736772,94.362125,125.721350
50.829868,89.204940,82.646667,107.319357
34.513071,62.810975,67.466484,85.254345
17.523140,34.147988,48.675158,68.145841
10.444086,19.798426,40.451938,63.782346
12.488018,32.441993,36.269523,71.000181
10.266331,32.666694,32.552114,70.742277
7.766850,31.554341,29.424752,64.025124
8.403419,29.881201,22.440022,57.037114
7.163884,32.971462,18.368525,50.184184
3.874842,13.663676,12.159096,34.514071
4.132140,12.808687,10.877581,32.144672
3.637835,13.705858,10.863610,26.539357
2.479787,6.721545,13.803563,31.929739
4.760780,15.785172,15.431229,43.717724
7.282923,23.919422,18.950450,50.303046
7.641879,25.372789,22.835603,58.167115
7.961817,33.382927,23.885704,58.685720
6.052239,17.152235,24.034780,53.527052
10.296094,28.601181,23.990097,51.271857
9.243941,25.124925,20.111119,43.629275
3.862359,13.835971,11.357943,34.773938
2.894553,10.178439,11.210742,33.563954
1.224986,4.447484,7.248664,26.277521
2.551324,10.035733,7.476451,28.095262
1.819613,6.552343,8.552990,31.558999
1.385081,7.458888,9.075783,31.858074
2.536852,10.015190,9.727539,33.444921
4.537871,16.719838,11.198415,36.026907
4.033072,13.919654,11.598852,35.368480
4.939118,13.946845,13.612617,36.599740
5.097336,16.051159,12.674398,33.863878
3.315501,12.099358,11.423458,32.663300
2.040582,9.934390,12.250179,33.529323
2.697851,9.506464,13.043545,37.321385
2.804269,10.868141,12.499487,37.847340
5.135713,25.613454,13.839825,45.207636
6.122958,28.382341,13.730958,46.067926
3.678176,15.720585,12.007285,39.866386
2.358858,11.539516,7.820396,27.416743
2.541590,13.458107,6.581961,25.169728
2.418332,12.817430,6.647368,25.618027
1.226428,6.406584,7.055941,28.355644
2.903526,15.380766,7.133373,29.699705
2.418211,12.817552,6.509065,28.106428
1.006699,5.121873,5.185622,21.118482
0.406592,1.919271,4.205026,16.354440
0.023759,0.078822,3.286115,12.404685
0.490925,2.562553,2.645385,8.990750
0.398035,1.919198,2.431309,6.761187
0.044285,0.149071,1.245084,3.567785
0.038178,0.135031,1.245959,3.847388
2.033969,10.701976,4.128197,15.379747
2.687248,14.273379,5.060243,21.463131
2.025853,10.644006,5.949742,26.423667
4.001181,21.294635,7.318817,35.023695
2.352971,12.579047,8.015744,41.313803
1.385994,7.213094,8.719018,44.758961
4.031163,21.371111,10.002800,50.781789
3.727230,19.514403,9.531139,46.201908
2.105113,10.645314,5.956679,25.149278
2.402768,8.444175,5.710251,16.499382
1.816351,8.984604,4.946903,17.980540
1.370879,6.744325,5.462855,20.992611
7.720390,23.545380,13.203168,36.992388
9.085222,29.464116,16.393862,44.550519
6.635835,21.394734,19.047566,51.775220
10.154049,40.529204,24.232416,67.696140
12.417644,39.016080,26.853590,76.933409
13.076226,39.968686,27.602744,84.297158
11.732837,36.383019,26.767752,85.278689
17.286993,58.305122,25.765877,82.670113
14.849519,52.631401,19.389074,63.724434
5.041965,26.505739,7.655079,33.867189
1.713223,8.005519,4.414010,15.225455
0.221279,1.015206,2.991677,11.924657
0.242123,1.117118,3.106625,12.212537
0.283618,1.226873,3.234360,11.789293
0.165379,0.762028,3.057000,11.300628
0.341042,1.320985,3.608049,10.411259
0.428827,1.743860,3.778554,10.134231
