P_Average,P_SD,W_Average,W_SD
4541.646350,381.671394,108.563023,3.844496
4093.314198,507.634166,105.226274,6.141281
3527.957736,460.586393,100.573641,8.470433
3183.386303,582.579541,94.971785,10.715263
2748.499536,760.563146,86.936101,14.812135
2355.908075,949.937695,80.144332,19.870358
2152.677398,972.869928,71.820439,21.279506
1757.011283,1092.020735,62.760407,27.321953
1435.259760,1050.727518,53.661225,27.025490
1043.148995,955.353936,43.016331,29.004934
908.363563,838.617186,41.502498,26.060852
844.157111,803.204545,40.957893,24.409717
867.616347,826.232557,40.878332,23.883246
788.334131,710.574698,40.705693,24.466917
666.228280,622.308823,36.112038,24.251334
563.552963,713.626610,28.513438,24.355819
436.606832,561.623952,25.536024,22.267753
377.616606,512.151792,23.154636,20.833293
331.374093,482.373987,21.867312,20.400011
295.381846,459.761732,19.083780,20.163007
225.489128,397.133027,17.286716,20.453494
198.541075,421.694383,14.299012,18.767199
181.577856,412.854662,12.340258,18.530363
127.840464,338.678255,8.901964,15.758195
110.592386,322.833990,8.318737,14.289194
133.031132,361.904570,10.060362,14.887510
137.702425,365.230942,10.583913,15.200740
174.591144,399.880139,12.763265,17.260970
180.194289,403.835756,12.716595,17.876660
165.477300,364.543548,11.213415,17.326698
173.451164,426.347958,10.575433,18.274511
154.180903,382.205141,8.885260,17.231890
107.452137,292.469997,7.380876,13.633035
53.646720,189.712633,5.416321,10.167335
58.157427,200.263262,5.188252,10.544463
48.461483,138.029589,5.456669,10.606262
41.561933,95.927093,5.517098,10.314648
32.209255,98.227760,4.432520,9.832880
38.397225,124.265114,5.160338,10.969455
52.206305,144.354244,5.060520,10.590110
50.044479,144.236456,5.402778,10.224873
53.096228,135.392209,5.903989,9.906523
56.311458,118.333410,6.669663,10.960373
59.005451,117.049080,6.842601,10.895434
53.879426,100.838748,6.112846,9.464884
43.797311,95.255752,5.027541,8.845122
39.132032,93.777703,4.689778,8.868537
28.637781,61.311069,4.521259,7.952953
27.036427,58.240422,4.275333,7.238912
22.967067,54.047809,4.522702,7.698633
31.492859,66.176136,4.965281,8.190079
42.661060,81.730497,5.894460,8.662708
38.742757,82.849459,6.040338,8.887985
41.544997,119.895641,5.468970,9.466797
29.485687,102.336087,5.149570,11.495360
42.287345,137.424126,4.762042,11.426256
34.035852,118.448040,5.107469,12.850454
38.249186,127.256184,4.594386,11.615283
34.455694,113.334065,4.093412,10.105679
22.151693,62.636715,3.445630,6.666907
13.379517,40.967667,2.667678,5.216138
18.905755,66.337323,3.599734,6.920758
33.279824,132.387542,3.489296,7.730806
38.257772,158.503224,3.829005,8.561087
32.885311,132.254454,3.345791,7.651208
10.133665,21.868361,2.656788,5.069077
9.912219,26.117916,2.434466,5.296925
12.538330,35.533248,2.418051,5.085940
16.571445,39.585783,2.805190,5.433547
16.533073,42.106391,2.941199,5.908164
15.977378,42.322543,3.076396,6.402478
11.902562,36.560320,2.994759,6.458587
18.117078,57.622362,2.597687,6.146685
