P_Average,P_SD,W_Average,W_SD
1141.703081,40.691435,18758.567909,236.609798
761.765672,80.424978,18564.296891,267.204551
475.263758,77.666678,18415.519648,321.439321
360.872881,66.630033,18340.396984,350.239077
268.968080,53.327596,18296.514414,353.017016
211.536464,49.438724,18280.659117,327.719405
174.728920,42.693365,18253.225361,304.215912
137.915294,32.456887,18228.591976,305.304196
128.564966,37.707031,18215.956428,312.459962
114.403661,40.748495,18206.397980,324.714445
94.209372,32.325005,18199.374925,329.570118
75.162274,25.286272,18198.950581,338.213280
64.132062,22.992657,18189.484396,346.304235
60.101421,23.209665,18183.720703,344.913416
57.191757,22.029689,18176.317358,339.269590
52.684625,22.921640,18175.976099,336.896087
51.890118,21.426994,18177.267498,330.447110
47.122962,25.445692,18179.223431,323.680317
42.068529,21.277208,18178.196528,320.603855
43.781489,22.006070,18181.308230,318.705939
36.341074,19.069113,18180.832955,328.225279
36.516379,20.044025,18182.652314,332.634782
35.753635,21.309512,18190.573656,335.689165
31.566163,18.745636,18192.208207,343.751701
26.244457,17.790895,18198.329984,348.572297
24.108976,17.498970,18201.207220,356.227142
23.883723,17.713231,18201.667845,357.628075
24.727557,18.490769,18199.243322,353.701689
25.780890,17.792569,18192.782559,350.121371
23.651100,17.711005,18183.624238,345.416393
20.979136,14.424413,18182.047293,344.994604
20.901594,14.544714,18183.270193,344.578085
20.648222,15.308058,18181.995712,338.604049
21.994530,14.442060,18185.791585,336.129083
19.186905,14.171854,18187.905060,332.215028
16.865209,13.531763,18191.832676,326.919678
16.697577,16.391698,18192.109522,324.375478
15.967881,12.639341,18193.571035,326.245758
18.989741,12.315888,18192.656556,327.952515
18.569130,13.822518,18187.656102,327.239195
14.337868,12.275964,18183.232679,325.503347
13.342203,12.913356,18178.922855,326.020243
15.259778,13.450672,18176.075700,326.284167
12.462398,10.554393,18172.709697,327.133034
11.699786,8.637771,18170.386509,325.062319
10.904117,8.248996,18169.121651,324.685305
12.310331,10.123782,18171.724794,326.597270
12.377277,11.589754,18176.845804,329.397018
10.927517,11.217228,18180.030712,335.318839
10.648141,12.378119,18183.872672,337.885134
9.522965,10.755213,18189.050811,339.245775
8.560035,8.241724,18190.865324,338.867687
8.843566,8.920879,18190.948555,337.212771
7.966850,8.388935,18188.511703,335.040132
8.467711,8.480242,18185.183066,335.361751
10.055202,11.043046,18184.183009,339.441140
11.992571,14.272405,18184.197678,345.000618
13.829686,15.585776,18185.630270,343.359199
13.087167,14.756223,18185.294591,342.249590
11.822129,11.157226,18185.053201,337.460743
9.573325,10.032678,18184.932118,335.569277
9.678002,11.076504,18185.384041,334.055831
8.448732,7.270727,18188.701052,334.056026
7.255074,6.691213,18189.993668,335.426042
6.822494,8.332482,18190.874007,336.958845
6.007375,7.607925,18191.257272,339.307099
7.266344,8.729311,18190.526333,339.651887
7.013046,7.902637,18190.473499,340.740315
7.782839,7.804176,18190.495717,341.834348
8.057205,9.814411,18194.186557,344.295910
7.769559,10.780892,18195.990150,343.887011
7.669550,9.471580,18196.485512,343.841571
6.859133,6.620039,18197.508476,344.249990
6.452695,6.580233,18200.364431,346.214764
4.193206,4.047643,18202.203319,348.015539
4.856807,6.449822,18202.359740,349.604038
5.818900,6.516140,18201.921535,350.867849
7.548125,9.036823,18202.809606,353.607380
8.577471,10.731514,18207.248376,357.660008
8.633209,8.751819,18208.054765,361.579032
6.929569,7.777428,18209.976454,365.435507
6.997872,6.440529,18211.434618,366.596608
4.796591,5.714908,18213.122223,366.895991
3.813715,4.809594,18215.575352,366.783933
5.160176,6.897608,18216.979466,367.893632
7.053684,11.188147,18216.957930,369.184857
7.081301,10.503943,18217.556098,369.608814
5.241535,6.777804,18218.802465,368.269226
3.871766,5.717940,18220.524908,365.797021
3.505075,4.561416,18222.684374,365.446711
3.029470,3.565783,18224.533477,365.228765
2.727302,3.636510,18225.542238,365.265647
2.466471,4.351840,18225.423144,365.762471
3.693933,5.192364,18223.910340,366.749121
3.600017,4.013880,18223.531236,367.953607
2.734235,3.223790,18222.773023,370.343492
3.625332,4.255954,18221.841751,370.769183
4.038233,6.031842,18221.558002,371.839384
3.229507,4.215443,18220.181082,373.030838
3.127725,4.065957,18218.828134,372.460112
3.989849,5.558964,18217.573272,371.964449
4.167918,5.661486,18218.139692,370.720982
3.918518,4.358004,18219.927273,369.934844
4.679770,6.273118,18222.622834,367.854074
5.770399,7.091062,18224.352641,369.524780
5.774479,8.070321,18225.032046,369.155025
4.728600,7.185379,18225.888785,369.126658
4.558446,6.126312,18225.957704,369.917855
6.267223,10.031705,18223.793654,370.889276
4.560759,8.651807,18223.012043,373.591008
4.335546,8.484526,18222.435375,371.524046
4.195263,6.666477,18222.854913,369.236619
3.217359,4.546652,18222.050714,367.697514
3.571540,5.886778,18221.243795,365.613235
4.083786,7.473257,18220.390512,363.951193
3.671881,6.032865,18219.729881,363.259507
2.709308,4.836598,18218.062850,362.020296
4.355020,8.213978,18218.301030,361.746007
4.747385,7.980737,18218.510934,361.676136
3.729592,4.831740,18218.877497,361.198784
2.786848,4.289273,18218.172755,360.549296
2.748740,3.824255,18219.032463,360.057357
2.492043,3.385841,18218.389692,359.744569
2.403339,3.817919,18218.009368,359.646967
2.364517,4.033185,18217.993557,359.831198
3.351530,5.334506,18216.818421,360.951720
4.250409,6.940077,18216.271865,361.689197
3.841541,5.277113,18214.318827,362.766077
3.538593,4.448585,18213.437279,362.959058
3.642592,5.668339,18211.651643,362.749875
3.047160,5.373165,18210.233826,361.615001
4.005199,6.685802,18208.685990,358.662966
4.269559,7.411325,18206.092203,355.450983
3.418353,5.854033,18205.220081,352.436333
1.514515,2.699961,18204.679494,350.849660
1.902800,4.270866,18204.733684,351.981678
2.257612,5.638088,18205.963358,352.826219
