P_Average,P_SD,W_Average,W_SD
4812.164162,72.896791,33220.567968,182.591681
4645.729191,106.392161,33054.417097,224.318648
4562.161246,132.202634,32928.375805,296.269833
4489.049417,142.602144,32780.412089,380.538668
4429.013499,144.596146,32569.807947,407.662108
4373.866494,174.953875,32366.081866,489.507187
4319.936379,221.119795,32100.562723,609.882361
4196.403295,236.886928,31711.178645,776.588413
4081.111164,254.266379,31194.742980,916.852144
3864.767187,334.611469,30420.751261,1259.953176
3633.820572,434.621602,29227.305818,1837.114720
3206.264855,642.028305,27396.459013,3285.683994
2708.767982,862.631002,24698.061915,5678.791966
2240.443012,1015.841148,21614.915243,7529.478869
1843.093544,1060.850796,18824.144080,8884.909440
1656.178312,1180.656648,16769.569441,9824.966348
1514.773493,1174.552974,15822.862590,9900.331294
1450.517887,1213.399883,15130.174757,10432.425128
1396.575626,1142.821739,14952.034166,10202.412394
1305.509574,1166.590674,14329.661308,10187.798288
1282.406775,1178.859556,13914.909175,10138.183898
1194.423106,1086.053321,13435.051318,9552.059461
1091.644029,966.774350,13051.729571,8895.563780
1056.693997,925.294623,12876.032481,8470.638869
1004.485676,858.715910,12425.714813,8339.540221
930.609438,892.276405,11158.055486,8940.532918
847.170900,885.829371,10274.434025,9478.410716
759.365060,868.732037,9328.351095,9292.539760
622.258453,833.662792,7864.421450,8613.589987
454.520294,737.508034,6054.096073,8208.927769
344.747037,623.682300,4983.029058,7568.050038
262.887562,475.365827,4250.016246,6337.666819
189.100664,355.139503,3343.624871,5004.878647
147.163136,296.823782,2653.177838,4274.938052
123.234936,274.465457,2398.111033,4251.600128
127.478437,290.505196,2584.479311,4765.594320
160.016061,361.659462,2973.139487,5345.156698
183.694271,463.814263,3147.996479,5680.311744
185.711639,471.064909,3108.970171,5550.283738
160.656595,397.841748,2861.673038,5121.867490
133.296047,304.133591,2563.382483,4261.720821
96.796274,245.391841,2080.719146,3580.752646
81.530299,210.337914,1958.174590,3487.812619
96.614858,238.136883,2179.136014,3734.572445
104.047341,226.341507,2371.602979,3804.997916
115.655488,241.252881,2551.683726,3999.837520
129.214948,274.604368,2749.248656,4388.304450
145.804669,317.897846,2892.722125,4857.482678
147.835402,321.822773,2969.377827,5019.107697
149.537659,336.374605,2969.150783,5056.831548
119.197923,308.268604,2579.940710,4691.207926
109.054256,314.398047,2333.637802,4489.024867
94.753747,293.211017,2056.479464,4060.334388
61.732722,195.076683,1716.721979,3020.068821
26.344098,73.043076,1235.168044,1594.217299
10.171269,17.795824,928.295092,907.794006
5.581591,8.047377,779.920321,746.277779
4.302143,6.864713,655.967515,617.914341
3.267781,6.143454,533.729605,532.425787
2.733067,5.604731,440.268449,460.809651
2.187181,4.831648,364.695658,387.871014
1.200170,2.116375,310.278406,394.278536
1.117892,1.835955,310.959558,391.633213
1.200773,1.882314,323.208201,380.092196
1.215002,1.903122,331.487491,365.113131
1.287398,1.786994,358.632185,365.583748
1.422082,1.815355,398.068235,393.023567
3.006040,7.616597,458.113302,426.340174
4.243417,12.646348,502.687869,472.136763
6.429144,18.002025,551.687500,553.488610
9.787777,31.655031,591.332558,667.564532
13.592475,46.812513,601.390004,828.702391
19.150284,71.275978,620.585188,1128.619461
24.200673,93.365146,695.432996,1516.867235
31.729267,120.808496,796.331983,1945.874559
40.459304,158.623401,962.771366,2523.744456
62.496353,236.265579,1207.343225,3312.501282
79.421184,294.933844,1430.550349,4030.968249
88.813454,333.315279,1559.824012,4509.398985
103.584659,389.146185,1613.557599,4816.364663
80.429590,313.040410,1388.851161,4254.811679
63.994927,299.604503,1051.583226,3625.201180
29.915522,156.721665,683.063122,2498.131430
20.836224,107.520318,497.681792,1566.301129
2.605819,9.452928,253.585594,394.752289
0.906533,2.692496,240.551736,387.417638
0.955194,2.578903,253.520692,367.339470
0.868169,1.800700,250.843096,313.407775
0.778609,1.503825,236.028543,302.343953
0.896806,2.081774,248.311644,354.669154
0.974769,2.351913,259.019234,399.614651
1.084146,2.932118,256.844889,433.710665
1.187025,3.453115,246.144707,458.054075
1.059326,3.049929,229.918830,453.006018
0.969629,3.026252,203.371757,429.843519
0.766789,2.655697,168.880214,382.430856
0.558631,1.841510,141.693292,304.500089
0.361659,0.983343,112.782544,210.973293
0.340709,0.788317,112.066295,199.034674
0.402645,0.917044,130.443608,226.017050
0.534664,1.258173,156.702252,278.144297
0.686906,1.642087,187.338654,324.532492
0.841724,1.942891,226.426190,372.777488
1.051800,2.292167,262.978257,408.136094
1.183522,2.380071,293.469432,425.591490
1.254343,2.432082,314.434864,426.043062
1.276382,2.298519,324.133532,425.114147
1.232224,2.087244,326.013274,411.490798
1.096392,1.783691,300.984899,372.328361
0.962027,1.735784,272.383989,350.534141
0.898123,1.840113,252.010764,351.321790
0.929746,1.816940,262.753198,374.963120
1.091375,2.107935,290.156565,405.091118
1.188268,2.353995,300.576926,417.060880
1.225021,2.517569,297.106864,426.794857
1.130569,2.317100,281.328401,405.767037
1.091614,2.234459,269.703321,395.369095
1.055143,2.050856,274.633863,405.273727
1.117247,2.188921,280.932949,400.875253
1.092493,2.218975,273.647039,394.523225
1.055297,2.225786,267.514683,394.355569
1.023337,2.250587,260.449990,393.608636
1.032625,2.180277,266.721933,413.579495
1.046359,2.211764,270.770979,424.700987
1.166562,2.441384,276.640848,425.324770
1.252159,2.572021,288.381989,439.027380
1.416767,2.964755,304.339555,465.206727
1.295897,2.944907,285.389577,461.697723
1.290249,3.511210,268.042139,466.155776
1.167511,3.212122,252.260801,468.277779
1.105892,3.121791,237.089626,469.641323
0.896229,2.435932,206.222218,414.960738
0.644014,1.645098,168.840397,332.265718
0.461381,1.214980,133.938331,272.511990
0.345967,0.926357,121.478408,250.762095
0.342210,0.902474,123.457268,243.259882
0.321280,0.756851,122.164688,228.624959
0.287848,0.574579,122.641109,218.052094
0.330775,0.661702,135.795464,236.314751
0.391297,0.779651,154.002299,259.753612
0.420889,0.846836,165.377191,267.737987
0.427487,0.885665,165.059672,263.267253
0.405796,0.934980,156.058686,256.289720
0.417892,1.014659,153.435599,263.048524
0.357513,0.769843,150.131918,250.139994
0.310286,0.582824,139.463792,218.718292
0.257248,0.511221,124.872648,201.757170
0.228562,0.432353,120.898382,187.108855
0.204484,0.408744,114.738431,173.588519
0.186680,0.402441,106.930480,167.503757
0.176123,0.341021,107.750611,164.639573
0.178955,0.315930,111.372462,153.460545
0.164691,0.267336,109.986837,141.129682
0.173272,0.263052,114.448115,146.606752
0.193122,0.297877,122.604898,161.350231
0.216342,0.338533,129.854287,170.117681
0.211828,0.320174,129.630869,171.932878
0.227106,0.342208,130.605310,172.350770
0.241969,0.386442,133.124796,178.147661
0.251458,0.444116,133.827163,191.877426
0.280803,0.544470,137.604396,215.277743
0.295741,0.614743,133.959367,228.069513
0.301057,0.647923,126.452601,227.839950
0.276425,0.601750,115.725906,210.587691
0.226030,0.505367,106.922720,190.689679
0.190466,0.409070,98.816959,172.624824
0.184114,0.411953,98.285138,169.225685
0.180443,0.384437,102.152244,173.695807
0.223515,0.523114,110.337122,196.145909
0.262741,0.637437,115.555682,210.252978
0.276962,0.640168,114.899363,213.448825
0.255536,0.570146,110.428984,206.161995
0.277994,0.688458,108.728017,212.876878
0.280685,0.753469,109.430643,227.357137
0.267903,0.691289,107.696969,223.549184
0.205944,0.481571,98.308850,198.491099
0.172079,0.362825,86.762637,165.339056
0.130681,0.276063,72.462425,134.734552
0.112663,0.257902,63.319947,124.460474
0.105020,0.254249,59.264986,128.618902
0.122226,0.313278,64.173149,143.297769
0.148797,0.398222,72.838669,163.470400
0.148657,0.375749,79.486767,175.122499
0.150437,0.389735,80.200892,175.972002
0.147111,0.419516,76.407655,171.533750
0.127391,0.360469,68.378562,149.485937
0.090255,0.249724,54.314899,121.073678
0.074772,0.212491,48.507917,114.877117
0.073441,0.186512,49.682605,110.980383
0.072855,0.179592,50.960916,106.594827
0.083370,0.222302,54.684390,118.019362
0.105527,0.307862,59.734734,138.077469
0.129626,0.355285,69.238653,157.666226
0.142764,0.391502,74.837707,166.282209
0.150366,0.416881,76.142750,165.421133
0.128573,0.354620,69.997364,148.758635
0.101796,0.299768,60.237845,137.623438
0.087670,0.230021,60.940639,129.481290
0.089781,0.203377,62.853787,113.398986
0.074218,0.127225,60.970429,92.880986
0.069328,0.120102,61.712248,92.601148
0.090991,0.170992,71.089800,107.127168
0.105114,0.213524,79.286494,120.127834
0.131877,0.302989,86.742873,134.931794
0.140305,0.344680,90.809421,145.118641
0.166991,0.457078,92.185096,156.936911
0.171605,0.496093,92.373741,162.979260
0.192067,0.536076,99.086473,178.858404
0.236639,0.580985,106.392792,190.709440
0.248199,0.584361,108.212917,199.851674
0.241629,0.571179,110.810108,208.687280
0.282361,0.776510,115.499260,228.753312
0.288375,0.835775,112.104401,234.073643
0.274461,0.934268,97.989397,224.299574
0.223256,0.802831,80.724898,200.622349
0.207433,0.687659,75.195763,185.581724
0.212824,0.710404,75.331904,186.324086
0.224855,0.779521,81.164007,202.059069
0.257902,0.957736,88.480352,221.508369
0.264596,1.024847,89.667302,225.412792
0.263053,1.158036,84.785566,226.725085
0.244014,1.098478,80.223248,225.151387
0.184521,0.799033,68.006736,180.499402
0.093830,0.332651,47.523006,104.098788
